Calendar Day,Group,Division,Business Unit,Gross Order $
02/10/2019,Construction & Energy,Hubbell Scotland,Hubbell Scotland,503865.22
02/10/2019,Construction & Energy,Killark,Killark,1768010.41
02/10/2019,Hubbell Lighting,C & I,AAL,561809.63
02/10/2019,Hubbell Lighting,C & I,Alera,90475.38
02/10/2019,Hubbell Lighting,C & I,Beacon,807253.48
02/10/2019,Hubbell Lighting,C & I,Columbia,3398775.89
02/10/2019,Hubbell Lighting,C & I,Hubbell Control Solutions,1035260.41
02/10/2019,Hubbell Lighting,C & I,Hubbell Lighting Components,405390.53
02/10/2019,Hubbell Lighting,C & I,Industrial Lighting,407882.69
02/10/2019,Hubbell Lighting,C & I,Kim,2016635.69
02/10/2019,Hubbell Lighting,C & I,Kurt Versen,235716.01
02/10/2019,Hubbell Lighting,C & I,Life Safety,1971882.02
02/10/2019,Hubbell Lighting,C & I,Litecontrol,853644.74
02/10/2019,Hubbell Lighting,C & I,Outdoor,1251805.24
02/10/2019,Hubbell Lighting,C & I,Prescolite,1004633.42
02/10/2019,Hubbell Lighting,C & I,Security Lighting,215696.01
02/10/2019,Hubbell Lighting,Residential,Progress Lighting,4811908.17
02/10/2019,Integrated Solutions,Integrated Solutions,iDevices,0
02/10/2019,Power Systems,Aiken - Arresters,Aiken - Arresters,1537312.36
02/10/2019,Power Systems,Aiken - Cable Acc,Aiken - Cable Acc,542615.2
02/10/2019,Power Systems,Aiken - Insulator,Aiken - Insulator,1090391.33
02/10/2019,Power Systems,Civil & Construction,Civil & Construction,4100544.28
02/10/2019,Power Systems,Connectors,Connectors,3662090.18
02/10/2019,Power Systems,Enclosures,Enclosures,3701330.4
02/10/2019,Power Systems,HPS China,HPS China,0
02/10/2019,Power Systems,Switching Fusing,Switching & Fusing,2839650.63
02/10/2019,Power Systems,Tools and Equipment,Tools and Equipment,1511173.84
02/10/2019,Power Systems,Total Bushings,Bushings,786436.97
02/10/2019,Power Systems,Utility Automation,Utility Automation,1134976.42
02/17/2019,Commercial & Industrial,ACME,ACME,889831.22
02/17/2019,Commercial & Industrial,Gleason Reel,Gleason Reel,712728.54
02/17/2019,Commercial & Industrial,Hipotronics,Hipotronics,226057.07
02/17/2019,Commercial & Industrial,Industrial Controls,Industrial Controls,1515189.86
02/17/2019,Commercial & Industrial,Raco/TayMac,Raco/TayMac,5375059.3
02/17/2019,Commercial & Industrial,WBP,Bryant Electric,343774.8
02/17/2019,Commercial & Industrial,WBP,Premise Wiring,1080519.69
02/17/2019,Commercial & Industrial,WBP,WDK,7999375.84
02/17/2019,Commercial & Industrial,Wiegmann,Wiegmann,1033064.89
02/17/2019,Construction & Energy,Burndy - US,Burndy - US,5964058.82
02/17/2019,Construction & Energy,CMC,CMC,1150031.4
02/17/2019,Construction & Energy,Continental Industries,Continental Industries,1131994.54
02/17/2019,Construction & Energy,GAI-Tronics - UK,Gai-Tronics - UK,264816.89
02/17/2019,Construction & Energy,GAI-Tronics - US,GAI-Tronics - US,1215594.94
02/17/2019,Construction & Energy,Gai-Tronics - Italy,Gai-Tronics - Italy,0
02/17/2019,Construction & Energy,Hawke - UK,Hawke - UK,453026.93
02/17/2019,Construction & Energy,Hubbell Canada,Hubbell Canada,2175290.74
02/17/2019,Construction & Energy,Hubbell Products Mexico,Hubbell Products Mexico,488143.32
02/17/2019,Construction & Energy,Hubbell Scotland,Hubbell Scotland,328933.8
02/17/2019,Construction & Energy,Killark,Killark,1960263
02/17/2019,Hubbell Lighting,C & I,AAL,93097.36
02/17/2019,Hubbell Lighting,C & I,Alera,150409.11
02/17/2019,Hubbell Lighting,C & I,Beacon,1046208.14
02/17/2019,Hubbell Lighting,C & I,Columbia,3469577.4
02/17/2019,Hubbell Lighting,C & I,Hubbell Control Solutions,775065.25
02/17/2019,Hubbell Lighting,C & I,Hubbell Lighting Components,406043.24
02/17/2019,Hubbell Lighting,C & I,Industrial Lighting,171566.05
02/17/2019,Hubbell Lighting,C & I,Kim,894466.79
02/17/2019,Hubbell Lighting,C & I,Kurt Versen,-11465.64
02/17/2019,Hubbell Lighting,C & I,Life Safety,1669199.77
02/17/2019,Hubbell Lighting,C & I,Litecontrol,1323720.37
02/17/2019,Hubbell Lighting,C & I,Outdoor,1187238.41
02/17/2019,Hubbell Lighting,C & I,Prescolite,1162244.16
02/17/2019,Hubbell Lighting,C & I,Security Lighting,181917.04
02/17/2019,Hubbell Lighting,Residential,Progress Lighting,5131364.15
02/17/2019,Integrated Solutions,Integrated Solutions,iDevices,0
02/17/2019,Power Systems,Aiken - Arresters,Aiken - Arresters,2009099.79
02/17/2019,Power Systems,Aiken - Cable Acc,Aiken - Cable Acc,481008.21
02/17/2019,Power Systems,Aiken - Insulator,Aiken - Insulator,659174.59
02/17/2019,Power Systems,Civil & Construction,Civil & Construction,3654581.13
02/17/2019,Power Systems,Connectors,Connectors,3913059.56
02/17/2019,Power Systems,Enclosures,Enclosures,4405062.41
02/17/2019,Power Systems,HPS China,HPS China,4107
02/17/2019,Power Systems,Switching Fusing,Switching & Fusing,3436283.94
02/17/2019,Power Systems,Tools and Equipment,Tools and Equipment,1297453.52
02/17/2019,Power Systems,Total Bushings,Bushings,810102.83
02/17/2019,Power Systems,Utility Automation,Utility Automation,879314.64
02/24/2019,Commercial & Industrial,ACME,ACME,1345264.2
02/24/2019,Commercial & Industrial,Gleason Reel,Gleason Reel,833283.15
02/24/2019,Commercial & Industrial,Hipotronics,Hipotronics,215239.39
02/24/2019,Commercial & Industrial,Industrial Controls,Industrial Controls,1047050.83
02/24/2019,Commercial & Industrial,Raco/TayMac,Raco/TayMac,4588217.56
02/24/2019,Commercial & Industrial,WBP,Bryant Electric,376445
02/24/2019,Commercial & Industrial,WBP,Premise Wiring,1127494.5
02/24/2019,Commercial & Industrial,WBP,WDK,7895367.31
02/24/2019,Commercial & Industrial,Wiegmann,Wiegmann,1072887.58
02/24/2019,Construction & Energy,Burndy - US,Burndy - US,5452945.59
02/24/2019,Construction & Energy,CMC,CMC,1384753.67
02/24/2019,Construction & Energy,Continental Industries,Continental Industries,1224756.98
02/24/2019,Construction & Energy,GAI-Tronics - UK,Gai-Tronics - UK,481444.48
02/24/2019,Construction & Energy,GAI-Tronics - US,GAI-Tronics - US,885329.61
02/24/2019,Construction & Energy,Gai-Tronics - Italy,Gai-Tronics - Italy,0
02/24/2019,Construction & Energy,Hawke - UK,Hawke - UK,352723.45
02/24/2019,Construction & Energy,Hubbell Canada,Hubbell Canada,2164453.37
02/24/2019,Construction & Energy,Hubbell Products Mexico,Hubbell Products Mexico,1033368.72
02/24/2019,Construction & Energy,Hubbell Scotland,Hubbell Scotland,415233.59
02/24/2019,Construction & Energy,Killark,Killark,1899998.57
02/24/2019,Hubbell Lighting,C & I,AAL,743490.6
02/24/2019,Hubbell Lighting,C & I,Alera,177441.29
02/24/2019,Hubbell Lighting,C & I,Beacon,987144.73
02/24/2019,Hubbell Lighting,C & I,Columbia,3928307.71
02/24/2019,Hubbell Lighting,C & I,Hubbell Control Solutions,1035669.4
02/24/2019,Hubbell Lighting,C & I,Hubbell Lighting Components,741471.19
02/24/2019,Hubbell Lighting,C & I,Industrial Lighting,435889.07
02/24/2019,Hubbell Lighting,C & I,Kim,496383.72
02/24/2019,Hubbell Lighting,C & I,Kurt Versen,-9945.78
02/24/2019,Hubbell Lighting,C & I,Life Safety,1513405.66
02/24/2019,Hubbell Lighting,C & I,Litecontrol,692458.6
02/24/2019,Hubbell Lighting,C & I,Outdoor,1403749.06
02/24/2019,Hubbell Lighting,C & I,Prescolite,903023.43
02/24/2019,Hubbell Lighting,C & I,Security Lighting,211816.98
02/24/2019,Hubbell Lighting,Residential,Progress Lighting,4737664.31
02/24/2019,Integrated Solutions,Integrated Solutions,iDevices,0
02/24/2019,Power Systems,Aiken - Arresters,Aiken - Arresters,1277090.29
02/24/2019,Power Systems,Aiken - Cable Acc,Aiken - Cable Acc,394076.14
02/24/2019,Power Systems,Aiken - Insulator,Aiken - Insulator,880531.81
02/24/2019,Power Systems,Civil & Construction,Civil & Construction,4878869.98
02/24/2019,Power Systems,Connectors,Connectors,3752736.13
02/24/2019,Power Systems,Enclosures,Enclosures,3578766.76
02/24/2019,Power Systems,HPS China,HPS China,561727.83
02/24/2019,Power Systems,Switching Fusing,Switching & Fusing,2812597.68
02/24/2019,Power Systems,Tools and Equipment,Tools and Equipment,1345765.92
02/24/2019,Power Systems,Total Bushings,Bushings,1375271.55
02/24/2019,Power Systems,Utility Automation,Utility Automation,1074103.71
03/03/2019,Commercial & Industrial,ACME,ACME,747049.05
03/03/2019,Commercial & Industrial,Gleason Reel,Gleason Reel,658246.21
03/03/2019,Commercial & Industrial,Hipotronics,Hipotronics,559328.28
03/03/2019,Commercial & Industrial,Industrial Controls,Industrial Controls,1789336.62
03/03/2019,Commercial & Industrial,Raco/TayMac,Raco/TayMac,5476061.27
03/03/2019,Commercial & Industrial,WBP,Bryant Electric,515171.59
03/03/2019,Commercial & Industrial,WBP,Premise Wiring,1516072.69
03/03/2019,Commercial & Industrial,WBP,WDK,8922121.07
03/03/2019,Commercial & Industrial,Wiegmann,Wiegmann,1088863.52
03/03/2019,Construction & Energy,Burndy - US,Burndy - US,5496280.23
03/03/2019,Construction & Energy,CMC,CMC,1850033.68
03/03/2019,Construction & Energy,Continental Industries,Continental Industries,913588.77
03/03/2019,Construction & Energy,GAI-Tronics - UK,Gai-Tronics - UK,594566.3
03/03/2019,Construction & Energy,GAI-Tronics - US,GAI-Tronics - US,898245.81
03/03/2019,Construction & Energy,Gai-Tronics - Italy,Gai-Tronics - Italy,0
03/03/2019,Construction & Energy,Hawke - UK,Hawke - UK,774172.63
03/03/2019,Construction & Energy,Hubbell Canada,Hubbell Canada,2488668.99
03/03/2019,Construction & Energy,Hubbell Products Mexico,Hubbell Products Mexico,849680.34
03/03/2019,Construction & Energy,Hubbell Scotland,Hubbell Scotland,900185.14
03/03/2019,Construction & Energy,Killark,Killark,2091207.01
03/03/2019,Hubbell Lighting,C & I,AAL,641332.02
03/03/2019,Hubbell Lighting,C & I,Alera,249586.08
03/03/2019,Hubbell Lighting,C & I,Beacon,1317642.8
03/03/2019,Hubbell Lighting,C & I,Columbia,6571986.97
03/03/2019,Hubbell Lighting,C & I,Hubbell Control Solutions,859308.09
03/03/2019,Hubbell Lighting,C & I,Hubbell Lighting Components,608499.05
03/03/2019,Hubbell Lighting,C & I,Industrial Lighting,522457.1
03/03/2019,Hubbell Lighting,C & I,Kim,1303527.91
03/03/2019,Hubbell Lighting,C & I,Kurt Versen,35696.29
03/03/2019,Hubbell Lighting,C & I,Life Safety,2071013.58
03/03/2019,Hubbell Lighting,C & I,Litecontrol,680140.91
03/03/2019,Hubbell Lighting,C & I,Outdoor,1949899.2
03/03/2019,Hubbell Lighting,C & I,Prescolite,1597155.22
03/03/2019,Hubbell Lighting,C & I,Security Lighting,189534.44
03/03/2019,Hubbell Lighting,Residential,Progress Lighting,5351334.56
03/03/2019,Integrated Solutions,Integrated Solutions,iDevices,0
03/03/2019,Power Systems,Aiken - Arresters,Aiken - Arresters,1538802.42
03/03/2019,Power Systems,Aiken - Cable Acc,Aiken - Cable Acc,505779.09
03/03/2019,Power Systems,Aiken - Insulator,Aiken - Insulator,2340555.42
03/03/2019,Power Systems,Civil & Construction,Civil & Construction,4599814.37
03/03/2019,Power Systems,Connectors,Connectors,5803457.21
03/03/2019,Power Systems,Enclosures,Enclosures,2925407.21
03/03/2019,Power Systems,HPS China,HPS China,250025.84
03/03/2019,Power Systems,Switching Fusing,Switching & Fusing,3200943.55
03/03/2019,Power Systems,Tools and Equipment,Tools and Equipment,1707648.88
03/03/2019,Power Systems,Total Bushings,Bushings,1819015.18
03/03/2019,Power Systems,Utility Automation,Utility Automation,1390435.14
03/10/2019,Commercial & Industrial,ACME,ACME,952727.86
03/10/2019,Commercial & Industrial,Gleason Reel,Gleason Reel,607846.94
03/10/2019,Commercial & Industrial,Hipotronics,Hipotronics,158126.12
03/10/2019,Commercial & Industrial,Industrial Controls,Industrial Controls,1303613.52
03/10/2019,Commercial & Industrial,Raco/TayMac,Raco/TayMac,5573367.51
03/10/2019,Commercial & Industrial,WBP,Bryant Electric,348489.79
03/10/2019,Commercial & Industrial,WBP,Premise Wiring,1061420.46
03/10/2019,Commercial & Industrial,WBP,WDK,8880177.02
03/10/2019,Commercial & Industrial,Wiegmann,Wiegmann,1018126.23
03/10/2019,Construction & Energy,Burndy - US,Burndy - US,6730727.45
03/10/2019,Construction & Energy,CMC,CMC,1480013.18
03/10/2019,Construction & Energy,Continental Industries,Continental Industries,843938.34
03/10/2019,Construction & Energy,GAI-Tronics - UK,Gai-Tronics - UK,302297.21
03/10/2019,Construction & Energy,GAI-Tronics - US,GAI-Tronics - US,532679.38
03/10/2019,Construction & Energy,Gai-Tronics - Italy,Gai-Tronics - Italy,0
03/10/2019,Construction & Energy,Hawke - UK,Hawke - UK,632309.39
03/10/2019,Construction & Energy,Hubbell Canada,Hubbell Canada,2649176.24
03/10/2019,Construction & Energy,Hubbell Products Mexico,Hubbell Products Mexico,564426.3
03/10/2019,Construction & Energy,Hubbell Scotland,Hubbell Scotland,717616.34
03/10/2019,Construction & Energy,Killark,Killark,1821471.85
03/10/2019,Hubbell Lighting,C & I,AAL,564181.05
03/10/2019,Hubbell Lighting,C & I,Alera,241248.35
03/10/2019,Hubbell Lighting,C & I,Beacon,1326472.71
03/10/2019,Hubbell Lighting,C & I,Columbia,3518775.34
03/10/2019,Hubbell Lighting,C & I,Hubbell Control Solutions,615916.39
03/10/2019,Hubbell Lighting,C & I,Hubbell Lighting Components,355424.81
03/10/2019,Hubbell Lighting,C & I,Industrial Lighting,353881.29
03/10/2019,Hubbell Lighting,C & I,Kim,1254028.43
03/10/2019,Hubbell Lighting,C & I,Kurt Versen,86203.83
03/10/2019,Hubbell Lighting,C & I,Life Safety,2171333.71
03/10/2019,Hubbell Lighting,C & I,Litecontrol,1021654.94
03/10/2019,Hubbell Lighting,C & I,Outdoor,1276744.42
03/10/2019,Hubbell Lighting,C & I,Prescolite,941707.62
03/10/2019,Hubbell Lighting,C & I,Security Lighting,206852.95
03/10/2019,Hubbell Lighting,Residential,Progress Lighting,5025605.16
03/10/2019,Integrated Solutions,Integrated Solutions,iDevices,0
03/10/2019,Power Systems,Aiken - Arresters,Aiken - Arresters,1679574.31
03/10/2019,Power Systems,Aiken - Cable Acc,Aiken - Cable Acc,407373.8
03/10/2019,Power Systems,Aiken - Insulator,Aiken - Insulator,1076645.97
03/10/2019,Power Systems,Civil & Construction,Civil & Construction,4754295.56
03/10/2019,Power Systems,Connectors,Connectors,4339431.06
03/10/2019,Power Systems,Enclosures,Enclosures,3769974.45
03/10/2019,Power Systems,HPS China,HPS China,293037.52
03/10/2019,Power Systems,Switching Fusing,Switching & Fusing,4379779.54
03/10/2019,Power Systems,Tools and Equipment,Tools and Equipment,1511395.73
03/10/2019,Power Systems,Total Bushings,Bushings,829216.8
03/10/2019,Power Systems,Utility Automation,Utility Automation,797888.82
03/17/2019,Commercial & Industrial,ACME,ACME,1483642.99
03/17/2019,Commercial & Industrial,Gleason Reel,Gleason Reel,993050.47
03/17/2019,Commercial & Industrial,Hipotronics,Hipotronics,141054.99
03/17/2019,Commercial & Industrial,Industrial Controls,Industrial Controls,1779745.81
03/17/2019,Commercial & Industrial,Raco/TayMac,Raco/TayMac,4765962.86
03/17/2019,Commercial & Industrial,WBP,Bryant Electric,288573.16
03/17/2019,Commercial & Industrial,WBP,Premise Wiring,1402432.88
03/17/2019,Commercial & Industrial,WBP,WDK,9113939.55
03/17/2019,Commercial & Industrial,Wiegmann,Wiegmann,880966.32
03/17/2019,Construction & Energy,Burndy - US,Burndy - US,5620940.33
03/17/2019,Construction & Energy,CMC,CMC,2200874.29
03/17/2019,Construction & Energy,Continental Industries,Continental Industries,749294.15
03/17/2019,Construction & Energy,GAI-Tronics - UK,Gai-Tronics - UK,245936.85
03/17/2019,Construction & Energy,GAI-Tronics - US,GAI-Tronics - US,797256.81
03/17/2019,Construction & Energy,Gai-Tronics - Italy,Gai-Tronics - Italy,0
03/17/2019,Construction & Energy,Hawke - UK,Hawke - UK,192895.84
03/17/2019,Construction & Energy,Hubbell Canada,Hubbell Canada,2667715.79
03/17/2019,Construction & Energy,Hubbell Products Mexico,Hubbell Products Mexico,728766.73
03/17/2019,Construction & Energy,Hubbell Scotland,Hubbell Scotland,1340942.38
03/17/2019,Construction & Energy,Killark,Killark,1980345.46
03/17/2019,Hubbell Lighting,C & I,AAL,476814.73
03/17/2019,Hubbell Lighting,C & I,Alera,104688.91
03/17/2019,Hubbell Lighting,C & I,Beacon,1054101.56
03/17/2019,Hubbell Lighting,C & I,Columbia,4056414
03/17/2019,Hubbell Lighting,C & I,Hubbell Control Solutions,892515.03
03/17/2019,Hubbell Lighting,C & I,Hubbell Lighting Components,484025.83
03/17/2019,Hubbell Lighting,C & I,Industrial Lighting,244148.95
03/17/2019,Hubbell Lighting,C & I,Kim,770806.24
03/17/2019,Hubbell Lighting,C & I,Kurt Versen,25936.54
03/17/2019,Hubbell Lighting,C & I,Life Safety,1440640.44
03/17/2019,Hubbell Lighting,C & I,Litecontrol,666327.89
03/17/2019,Hubbell Lighting,C & I,Outdoor,1088547.68
03/17/2019,Hubbell Lighting,C & I,Prescolite,918776.98
03/17/2019,Hubbell Lighting,C & I,Security Lighting,307547.52
03/17/2019,Hubbell Lighting,Residential,Progress Lighting,4726546.98
03/17/2019,Integrated Solutions,Integrated Solutions,iDevices,142999.72
03/17/2019,Power Systems,Aiken - Arresters,Aiken - Arresters,1477199.14
03/17/2019,Power Systems,Aiken - Cable Acc,Aiken - Cable Acc,697000.17
03/17/2019,Power Systems,Aiken - Insulator,Aiken - Insulator,1555273.35
03/17/2019,Power Systems,Civil & Construction,Civil & Construction,4448547.39
03/17/2019,Power Systems,Connectors,Connectors,4397718.38
03/17/2019,Power Systems,Enclosures,Enclosures,3742419.44
03/17/2019,Power Systems,HPS China,HPS China,93974.7
03/17/2019,Power Systems,Switching Fusing,Switching & Fusing,2673627.16
03/17/2019,Power Systems,Tools and Equipment,Tools and Equipment,1833214.55
03/17/2019,Power Systems,Total Bushings,Bushings,1016658.37
03/17/2019,Power Systems,Utility Automation,Utility Automation,954883.47
03/24/2019,Commercial & Industrial,ACME,ACME,763625.73
03/24/2019,Commercial & Industrial,Gleason Reel,Gleason Reel,401256.84
03/24/2019,Commercial & Industrial,Hipotronics,Hipotronics,142503.04
03/24/2019,Commercial & Industrial,Industrial Controls,Industrial Controls,1703977.54
03/24/2019,Commercial & Industrial,Raco/TayMac,Raco/TayMac,5118076.94
03/24/2019,Commercial & Industrial,WBP,Bryant Electric,344924.72
03/24/2019,Commercial & Industrial,WBP,Premise Wiring,1103344.21
03/24/2019,Commercial & Industrial,WBP,WDK,8420150.57
03/24/2019,Commercial & Industrial,Wiegmann,Wiegmann,1094952.14
03/24/2019,Construction & Energy,Burndy - US,Burndy - US,6039816.61
03/24/2019,Construction & Energy,CMC,CMC,1730837.73
03/24/2019,Construction & Energy,Continental Industries,Continental Industries,1799573.71
03/24/2019,Construction & Energy,GAI-Tronics - UK,Gai-Tronics - UK,398727.3
03/24/2019,Construction & Energy,GAI-Tronics - US,GAI-Tronics - US,745771.86
03/24/2019,Construction & Energy,Gai-Tronics - Italy,Gai-Tronics - Italy,0
03/24/2019,Construction & Energy,Hawke - UK,Hawke - UK,276074.75
03/24/2019,Construction & Energy,Hubbell Canada,Hubbell Canada,2397997.89
03/24/2019,Construction & Energy,Hubbell Products Mexico,Hubbell Products Mexico,935336.9
03/24/2019,Construction & Energy,Hubbell Scotland,Hubbell Scotland,1020619.46
03/24/2019,Construction & Energy,Killark,Killark,1619839.22
03/24/2019,Hubbell Lighting,C & I,AAL,573943.98
03/24/2019,Hubbell Lighting,C & I,Alera,37748.82
03/24/2019,Hubbell Lighting,C & I,Beacon,1223930.83
03/24/2019,Hubbell Lighting,C & I,Columbia,4151515.05
03/24/2019,Hubbell Lighting,C & I,Hubbell Control Solutions,1019706.3
03/24/2019,Hubbell Lighting,C & I,Hubbell Lighting Components,467393.42
03/24/2019,Hubbell Lighting,C & I,Industrial Lighting,312282.2
03/24/2019,Hubbell Lighting,C & I,Kim,813333.67
03/24/2019,Hubbell Lighting,C & I,Kurt Versen,71390.11
03/24/2019,Hubbell Lighting,C & I,Life Safety,1506445.92
03/24/2019,Hubbell Lighting,C & I,Litecontrol,1144799.54
03/24/2019,Hubbell Lighting,C & I,Outdoor,1015478.6
03/24/2019,Hubbell Lighting,C & I,Prescolite,1265955.46
03/24/2019,Hubbell Lighting,C & I,Security Lighting,252732.04
03/24/2019,Hubbell Lighting,Residential,Progress Lighting,5167636.82
03/24/2019,Integrated Solutions,Integrated Solutions,iDevices,178333.54
03/24/2019,Power Systems,Aiken - Arresters,Aiken - Arresters,1250182.37
03/24/2019,Power Systems,Aiken - Cable Acc,Aiken - Cable Acc,432876.72
03/24/2019,Power Systems,Aiken - Insulator,Aiken - Insulator,720835.06
03/24/2019,Power Systems,Civil & Construction,Civil & Construction,4241981.71
03/24/2019,Power Systems,Connectors,Connectors,4067359.13
03/24/2019,Power Systems,Enclosures,Enclosures,2995442.08
03/24/2019,Power Systems,HPS China,HPS China,361821.3
03/24/2019,Power Systems,Switching Fusing,Switching & Fusing,2915603.23
03/24/2019,Power Systems,Tools and Equipment,Tools and Equipment,1324242.62
03/24/2019,Power Systems,Total Bushings,Bushings,893653.3
03/24/2019,Power Systems,Utility Automation,Utility Automation,743106.46
03/31/2019,Commercial & Industrial,ACME,ACME,957736.25
03/31/2019,Commercial & Industrial,Gleason Reel,Gleason Reel,834479.51
03/31/2019,Commercial & Industrial,Hipotronics,Hipotronics,395758.8
03/31/2019,Commercial & Industrial,Industrial Controls,Industrial Controls,1585785.22
03/31/2019,Commercial & Industrial,Raco/TayMac,Raco/TayMac,5669343.47
03/31/2019,Commercial & Industrial,WBP,Bryant Electric,316114.19
03/31/2019,Commercial & Industrial,WBP,Premise Wiring,1110336.45
03/31/2019,Commercial & Industrial,WBP,WDK,8752098.38
03/31/2019,Commercial & Industrial,Wiegmann,Wiegmann,811652.95
03/31/2019,Construction & Energy,Burndy - US,Burndy - US,6011514.63
03/31/2019,Construction & Energy,CMC,CMC,1658685.96
03/31/2019,Construction & Energy,Continental Industries,Continental Industries,712968.04
03/31/2019,Construction & Energy,GAI-Tronics - UK,Gai-Tronics - UK,400969.87
03/31/2019,Construction & Energy,GAI-Tronics - US,GAI-Tronics - US,1208218.2
03/31/2019,Construction & Energy,Gai-Tronics - Italy,Gai-Tronics - Italy,0
03/31/2019,Construction & Energy,Hawke - UK,Hawke - UK,690189.7
03/31/2019,Construction & Energy,Hubbell Canada,Hubbell Canada,2888301.07
03/31/2019,Construction & Energy,Hubbell Products Mexico,Hubbell Products Mexico,729770.62
03/31/2019,Construction & Energy,Hubbell Scotland,Hubbell Scotland,953028.71
03/31/2019,Construction & Energy,Killark,Killark,1589760.79
03/31/2019,Hubbell Lighting,C & I,AAL,226751.41
03/31/2019,Hubbell Lighting,C & I,Alera,4541.54
03/31/2019,Hubbell Lighting,C & I,Beacon,1165382.33
03/31/2019,Hubbell Lighting,C & I,Columbia,5199594.22
03/31/2019,Hubbell Lighting,C & I,Hubbell Control Solutions,812761.25
03/31/2019,Hubbell Lighting,C & I,Hubbell Lighting Components,650672.8
03/31/2019,Hubbell Lighting,C & I,Industrial Lighting,357377.14
03/31/2019,Hubbell Lighting,C & I,Kim,761187.18
03/31/2019,Hubbell Lighting,C & I,Kurt Versen,18478.03
03/31/2019,Hubbell Lighting,C & I,Life Safety,1572495.06
03/31/2019,Hubbell Lighting,C & I,Litecontrol,656650.86
03/31/2019,Hubbell Lighting,C & I,Outdoor,1443917.61
03/31/2019,Hubbell Lighting,C & I,Prescolite,1875622.61
03/31/2019,Hubbell Lighting,C & I,Security Lighting,228222.18
03/31/2019,Hubbell Lighting,Residential,Progress Lighting,6337981.78
03/31/2019,Integrated Solutions,Integrated Solutions,iDevices,137556.95
03/31/2019,Power Systems,Aiken - Arresters,Aiken - Arresters,1824864.86
03/31/2019,Power Systems,Aiken - Cable Acc,Aiken - Cable Acc,432177.3
03/31/2019,Power Systems,Aiken - Insulator,Aiken - Insulator,453102.85
03/31/2019,Power Systems,Civil & Construction,Civil & Construction,4943631.58
03/31/2019,Power Systems,Connectors,Connectors,4399380.13
03/31/2019,Power Systems,Enclosures,Enclosures,4788343.48
03/31/2019,Power Systems,HPS China,HPS China,370624.13
03/31/2019,Power Systems,Switching Fusing,Switching & Fusing,3456851.38
03/31/2019,Power Systems,Tools and Equipment,Tools and Equipment,2296680.43
03/31/2019,Power Systems,Total Bushings,Bushings,965502.28
03/31/2019,Power Systems,Utility Automation,Utility Automation,1350594.66
04/07/2019,Commercial & Industrial,ACME,ACME,805284.68
04/07/2019,Commercial & Industrial,Gleason Reel,Gleason Reel,459205.71
04/07/2019,Commercial & Industrial,Hipotronics,Hipotronics,350050.56
04/07/2019,Commercial & Industrial,Industrial Controls,Industrial Controls,1356392.31
04/07/2019,Commercial & Industrial,Raco/TayMac,Raco/TayMac,5540313.25
04/07/2019,Commercial & Industrial,WBP,Bryant Electric,261180.36
04/07/2019,Commercial & Industrial,WBP,Premise Wiring,1290490.72
04/07/2019,Commercial & Industrial,WBP,WDK,8282383.84
04/07/2019,Commercial & Industrial,Wiegmann,Wiegmann,844474.55
04/07/2019,Construction & Energy,Burndy - US,Burndy - US,6023433.48
04/07/2019,Construction & Energy,CMC,CMC,1158276.57
04/07/2019,Construction & Energy,Continental Industries,Continental Industries,15642544.86
04/07/2019,Construction & Energy,GAI-Tronics - UK,Gai-Tronics - UK,404731.63
04/07/2019,Construction & Energy,GAI-Tronics - US,GAI-Tronics - US,854997.02
04/07/2019,Construction & Energy,Gai-Tronics - Italy,Gai-Tronics - Italy,0
04/07/2019,Construction & Energy,Hawke - UK,Hawke - UK,202326.24
04/07/2019,Construction & Energy,Hubbell Canada,Hubbell Canada,2514849.33
04/07/2019,Construction & Energy,Hubbell Products Mexico,Hubbell Products Mexico,450659.62
04/07/2019,Construction & Energy,Hubbell Scotland,Hubbell Scotland,803780.56
04/07/2019,Construction & Energy,Killark,Killark,1689482.29
04/07/2019,Hubbell Lighting,C & I,AAL,475286.42
04/07/2019,Hubbell Lighting,C & I,Alera,97611.35
04/07/2019,Hubbell Lighting,C & I,Beacon,1436033.86
04/07/2019,Hubbell Lighting,C & I,Columbia,4623376.16
04/07/2019,Hubbell Lighting,C & I,Hubbell Control Solutions,593143.21
04/07/2019,Hubbell Lighting,C & I,Hubbell Lighting Components,494327.47
04/07/2019,Hubbell Lighting,C & I,Industrial Lighting,204360.12
04/07/2019,Hubbell Lighting,C & I,Kim,815415.66
04/07/2019,Hubbell Lighting,C & I,Kurt Versen,168226.31
04/07/2019,Hubbell Lighting,C & I,Life Safety,1416011.25
04/07/2019,Hubbell Lighting,C & I,Litecontrol,856505.04
04/07/2019,Hubbell Lighting,C & I,Outdoor,1076974.55
04/07/2019,Hubbell Lighting,C & I,Prescolite,1127755.16
04/07/2019,Hubbell Lighting,C & I,Security Lighting,182021.89
04/07/2019,Hubbell Lighting,Residential,Progress Lighting,4771535.28
04/07/2019,Integrated Solutions,Integrated Solutions,iDevices,171446.52
04/07/2019,Power Systems,Aiken - Arresters,Aiken - Arresters,2526212.76
04/07/2019,Power Systems,Aiken - Cable Acc,Aiken - Cable Acc,466589.25
04/07/2019,Power Systems,Aiken - Insulator,Aiken - Insulator,1165423.79
04/07/2019,Power Systems,Civil & Construction,Civil & Construction,5488989.24
04/07/2019,Power Systems,Connectors,Connectors,3724901.01
