Calendar Day,Group,Division,Business Unit,Gross Order $
02/04/2018,Power Systems,Switching Fusing,Switching & Fusing,2222110.18
02/04/2018,Power Systems,Tools and Equipment,Tools and Equipment,1655590.66
02/04/2018,Power Systems,Total Bushings,Bushings,1367631.44
02/04/2018,Power Systems,Utility Automation,Utility Automation,1687144.03
02/11/2018,Commercial & Industrial,ACME,ACME,892282.71
02/11/2018,Commercial & Industrial,Gleason Reel,Gleason Reel,697544.67
02/11/2018,Commercial & Industrial,Hipotronics,Hipotronics,175741.05
02/11/2018,Commercial & Industrial,Industrial Controls,Industrial Controls,1254898.18
02/11/2018,Commercial & Industrial,Raco/TayMac,Raco/TayMac,4393817.55
02/11/2018,Commercial & Industrial,WBP,Bryant Electric,640701.68
02/11/2018,Commercial & Industrial,WBP,Premise Wiring,1063284.26
02/11/2018,Commercial & Industrial,WBP,WDK,7290288.69
02/11/2018,Commercial & Industrial,Wiegmann,Wiegmann,936646.31
02/11/2018,Construction & Energy,Burndy - US,Burndy - US,5668874.69
02/11/2018,Construction & Energy,CMC,CMC,1424760.14
02/11/2018,Construction & Energy,Continental Industries,Continental Industries,0
02/11/2018,Construction & Energy,GAI-Tronics - UK,Gai-Tronics - UK,233429.95
02/11/2018,Construction & Energy,GAI-Tronics - US,GAI-Tronics - US,1816271.12
02/11/2018,Construction & Energy,Gai-Tronics - Italy,Gai-Tronics - Italy,-11800
02/11/2018,Construction & Energy,Hawke - UK,Hawke - UK,627885.36
02/11/2018,Construction & Energy,Hubbell Canada,Hubbell Canada,2663955.5
02/11/2018,Construction & Energy,Hubbell Products Mexico,Hubbell Products Mexico,926338.18
02/11/2018,Construction & Energy,Hubbell Scotland,Hubbell Scotland,988524.12
02/11/2018,Construction & Energy,Killark,Killark,1942302.18
02/11/2018,Hubbell Lighting,C & I,AAL,378990.79
02/11/2018,Hubbell Lighting,C & I,Alera,304281.2
02/11/2018,Hubbell Lighting,C & I,Beacon,1438324.25
02/11/2018,Hubbell Lighting,C & I,Columbia,14514182.05
02/11/2018,Hubbell Lighting,C & I,Hubbell Control Solutions,833038.11
02/11/2018,Hubbell Lighting,C & I,Hubbell Lighting Components,517072.32
02/11/2018,Hubbell Lighting,C & I,Industrial Lighting,260225.27
02/11/2018,Hubbell Lighting,C & I,Kim,748823.26
02/11/2018,Hubbell Lighting,C & I,Kurt Versen,50118
02/11/2018,Hubbell Lighting,C & I,Life Safety,1116629.76
02/11/2018,Hubbell Lighting,C & I,Litecontrol,678817.29
02/11/2018,Hubbell Lighting,C & I,Outdoor,1093888.4
02/11/2018,Hubbell Lighting,C & I,Prescolite,1124531.32
02/11/2018,Hubbell Lighting,C & I,Security Lighting,163000.7
02/11/2018,Hubbell Lighting,Residential,Progress Lighting,4711354.52
02/11/2018,Power Systems,Aiken - Arresters,Aiken - Arresters,1441405.44
02/11/2018,Power Systems,Aiken - Cable Acc,Aiken - Cable Acc,486157.28
02/11/2018,Power Systems,Aiken - Insulator,Aiken - Insulator,1577083.48
02/11/2018,Power Systems,Civil & Construction,Civil & Construction,4261837.88
02/11/2018,Power Systems,Connectors,Connectors,3596439.62
02/11/2018,Power Systems,Enclosures,Enclosures,4318231.45
02/11/2018,Power Systems,HPS China,HPS China,494362.14
02/11/2018,Power Systems,Switching Fusing,Switching & Fusing,2772308.19
02/11/2018,Power Systems,Tools and Equipment,Tools and Equipment,910159.51
02/11/2018,Power Systems,Total Bushings,Bushings,1494790.13
02/11/2018,Power Systems,Utility Automation,Utility Automation,930282.46
02/18/2018,Commercial & Industrial,ACME,ACME,1436938.52
02/18/2018,Commercial & Industrial,Gleason Reel,Gleason Reel,828527.83
02/18/2018,Commercial & Industrial,Hipotronics,Hipotronics,689678.54
02/18/2018,Commercial & Industrial,Industrial Controls,Industrial Controls,1367879.73
02/18/2018,Commercial & Industrial,Raco/TayMac,Raco/TayMac,4640812.62
02/18/2018,Commercial & Industrial,WBP,Bryant Electric,259886.56
02/18/2018,Commercial & Industrial,WBP,Premise Wiring,1223049.08
02/18/2018,Commercial & Industrial,WBP,WDK,8037859.13
02/18/2018,Commercial & Industrial,Wiegmann,Wiegmann,1006184.44
02/18/2018,Construction & Energy,Burndy - US,Burndy - US,5467376.51
02/18/2018,Construction & Energy,CMC,CMC,1247581.49
02/18/2018,Construction & Energy,Continental Industries,Continental Industries,0
02/18/2018,Construction & Energy,GAI-Tronics - UK,Gai-Tronics - UK,617171.68
02/18/2018,Construction & Energy,GAI-Tronics - US,GAI-Tronics - US,1078280.06
02/18/2018,Construction & Energy,Gai-Tronics - Italy,Gai-Tronics - Italy,0
02/18/2018,Construction & Energy,Hawke - UK,Hawke - UK,280840.45
02/18/2018,Construction & Energy,Hubbell Canada,Hubbell Canada,2367183.79
02/18/2018,Construction & Energy,Hubbell Products Mexico,Hubbell Products Mexico,813115.92
02/18/2018,Construction & Energy,Hubbell Scotland,Hubbell Scotland,503568.63
02/18/2018,Construction & Energy,Killark,Killark,1802061.92
02/18/2018,Hubbell Lighting,C & I,AAL,310289.95
02/18/2018,Hubbell Lighting,C & I,Alera,73109.99
02/18/2018,Hubbell Lighting,C & I,Beacon,1143137.93
02/18/2018,Hubbell Lighting,C & I,Columbia,4030586.43
02/18/2018,Hubbell Lighting,C & I,Hubbell Control Solutions,625562.31
02/18/2018,Hubbell Lighting,C & I,Hubbell Lighting Components,578876.59
02/18/2018,Hubbell Lighting,C & I,Industrial Lighting,212615.07
02/18/2018,Hubbell Lighting,C & I,Kim,666124.35
02/18/2018,Hubbell Lighting,C & I,Kurt Versen,138956.46
02/18/2018,Hubbell Lighting,C & I,Life Safety,1231455.64
02/18/2018,Hubbell Lighting,C & I,Litecontrol,628778.45
02/18/2018,Hubbell Lighting,C & I,Outdoor,1196937.35
02/18/2018,Hubbell Lighting,C & I,Prescolite,856871.6
02/18/2018,Hubbell Lighting,C & I,Security Lighting,357413.19
02/18/2018,Hubbell Lighting,Residential,Progress Lighting,4687761.39
02/18/2018,Power Systems,Aiken - Arresters,Aiken - Arresters,1618116.37
02/18/2018,Power Systems,Aiken - Cable Acc,Aiken - Cable Acc,448779.24
02/18/2018,Power Systems,Aiken - Insulator,Aiken - Insulator,2009305.89
02/18/2018,Power Systems,Civil & Construction,Civil & Construction,4179645.57
02/18/2018,Power Systems,Connectors,Connectors,3648734.69
02/18/2018,Power Systems,Enclosures,Enclosures,2743545.13
02/18/2018,Power Systems,HPS China,HPS China,23340.11
02/18/2018,Power Systems,Switching Fusing,Switching & Fusing,2357696.74
02/18/2018,Power Systems,Tools and Equipment,Tools and Equipment,967267.69
02/18/2018,Power Systems,Total Bushings,Bushings,1347873.9
02/18/2018,Power Systems,Utility Automation,Utility Automation,1320892.59
02/25/2018,Commercial & Industrial,ACME,ACME,745073.21
02/25/2018,Commercial & Industrial,Gleason Reel,Gleason Reel,606413.07
02/25/2018,Commercial & Industrial,Hipotronics,Hipotronics,418059.7
02/25/2018,Commercial & Industrial,Industrial Controls,Industrial Controls,1519766.85
02/25/2018,Commercial & Industrial,Raco/TayMac,Raco/TayMac,4097405.97
02/25/2018,Commercial & Industrial,WBP,Bryant Electric,433596.51
02/25/2018,Commercial & Industrial,WBP,Premise Wiring,1062732.99
02/25/2018,Commercial & Industrial,WBP,WDK,7853897.24
02/25/2018,Commercial & Industrial,Wiegmann,Wiegmann,1061817.69
02/25/2018,Construction & Energy,Burndy - US,Burndy - US,4621987.11
02/25/2018,Construction & Energy,CMC,CMC,1856340.43
02/25/2018,Construction & Energy,Continental Industries,Continental Industries,0
02/25/2018,Construction & Energy,GAI-Tronics - UK,Gai-Tronics - UK,421978.47
02/25/2018,Construction & Energy,GAI-Tronics - US,GAI-Tronics - US,824013.67
02/25/2018,Construction & Energy,Gai-Tronics - Italy,Gai-Tronics - Italy,0
02/25/2018,Construction & Energy,Hawke - UK,Hawke - UK,375389.6
02/25/2018,Construction & Energy,Hubbell Canada,Hubbell Canada,1987519.02
02/25/2018,Construction & Energy,Hubbell Products Mexico,Hubbell Products Mexico,691656.43
02/25/2018,Construction & Energy,Hubbell Scotland,Hubbell Scotland,1051405.34
02/25/2018,Construction & Energy,Killark,Killark,1886031.11
02/25/2018,Hubbell Lighting,C & I,AAL,338648.56
02/25/2018,Hubbell Lighting,C & I,Alera,193713.23
02/25/2018,Hubbell Lighting,C & I,Beacon,1303027.67
02/25/2018,Hubbell Lighting,C & I,Columbia,3764507.58
02/25/2018,Hubbell Lighting,C & I,Hubbell Control Solutions,689821.8
02/25/2018,Hubbell Lighting,C & I,Hubbell Lighting Components,356132.29
02/25/2018,Hubbell Lighting,C & I,Industrial Lighting,201733.65
02/25/2018,Hubbell Lighting,C & I,Kim,719425.48
02/25/2018,Hubbell Lighting,C & I,Kurt Versen,43041
02/25/2018,Hubbell Lighting,C & I,Life Safety,1396544.05
02/25/2018,Hubbell Lighting,C & I,Litecontrol,1050246.47
02/25/2018,Hubbell Lighting,C & I,Outdoor,1388516.13
02/25/2018,Hubbell Lighting,C & I,Prescolite,1100202.63
02/25/2018,Hubbell Lighting,C & I,Security Lighting,194886.35
02/25/2018,Hubbell Lighting,Residential,Progress Lighting,5600716.39
02/25/2018,Power Systems,Aiken - Arresters,Aiken - Arresters,1300100.49
02/25/2018,Power Systems,Aiken - Cable Acc,Aiken - Cable Acc,369167.62
02/25/2018,Power Systems,Aiken - Insulator,Aiken - Insulator,2872871.43
02/25/2018,Power Systems,Civil & Construction,Civil & Construction,3463890.11
02/25/2018,Power Systems,Connectors,Connectors,2822287.5
02/25/2018,Power Systems,Enclosures,Enclosures,3536977.82
02/25/2018,Power Systems,HPS China,HPS China,4440.51
