Work Day,Group,Division,Actual $
03/07/2019,Construction & Energy,Burndy - US,933468
03/07/2019,Construction & Energy,CMC,158374
03/07/2019,Construction & Energy,Continental Industries,258540
03/07/2019,Construction & Energy,GAI-Tronics - UK,110684
03/07/2019,Construction & Energy,GAI-Tronics - US,96562
03/07/2019,Construction & Energy,Hawke - UK,349776
03/07/2019,Construction & Energy,Hubbell Canada,523416
03/07/2019,Construction & Energy,Hubbell Products Mexico,55226
03/07/2019,Construction & Energy,Hubbell Scotland,66039
03/07/2019,Construction & Energy,Killark,233269
03/07/2019,Construction & Energy,Lyall,361800
03/07/2019,Hubbell Lighting,C & I,2825775
03/07/2019,Hubbell Lighting,Residential,514567
03/07/2019,Integrated Solutions,Integrated Solutions,5371
03/07/2019,Power Systems,Aiken - Arresters,501102
03/07/2019,Power Systems,Aiken - Cable Acc,103013
03/07/2019,Power Systems,Aiken - Insulator,262143
03/07/2019,Power Systems,Civil & Construction,520845
03/07/2019,Power Systems,Connectors,513488
03/07/2019,Power Systems,EMC,130780
03/07/2019,Power Systems,Enclosures,625301
03/07/2019,Power Systems,HPS Brazil,174000
03/07/2019,Power Systems,HPS China,27338
03/07/2019,Power Systems,Switching Fusing,1875400
03/07/2019,Power Systems,Tools and Equipment,128715
03/07/2019,Power Systems,Total Bushings,220445
03/07/2019,Power Systems,Utility Automation,102679
03/07/2019,Power Systems - Aclara,AMI,156091
03/07/2019,Power Systems - Aclara,Meters,104952
03/08/2019,Commercial & Industrial,ACME,133197
03/08/2019,Commercial & Industrial,Gleason Reel,43425
03/08/2019,Commercial & Industrial,Hipotronics,18513
03/08/2019,Commercial & Industrial,Industrial Controls,112824
03/08/2019,Commercial & Industrial,Raco/TayMac,581122
03/08/2019,Commercial & Industrial,WBP,1511310
03/08/2019,Commercial & Industrial,Wiegmann,107866
03/08/2019,Construction & Energy,Austdac,112634
03/08/2019,Construction & Energy,Burndy - US,1089363
03/08/2019,Construction & Energy,CMC,197421
03/08/2019,Construction & Energy,Continental Industries,1818181
03/08/2019,Construction & Energy,GAI-Tronics - UK,31844
03/08/2019,Construction & Energy,GAI-Tronics - US,114019
03/08/2019,Construction & Energy,Hawke - UK,328291
03/08/2019,Construction & Energy,Hubbell Canada,771886
03/08/2019,Construction & Energy,Hubbell Products Mexico,180776
03/08/2019,Construction & Energy,Hubbell Scotland,29493
03/08/2019,Construction & Energy,Killark,422905
03/08/2019,Construction & Energy,Lyall,180900
03/08/2019,Hubbell Lighting,C & I,2116320
03/08/2019,Hubbell Lighting,Residential,839804
03/08/2019,Integrated Solutions,Integrated Solutions,817
03/08/2019,Power Systems,Aiken - Arresters,364042
03/08/2019,Power Systems,Aiken - Cable Acc,67363
03/08/2019,Power Systems,Aiken - Insulator,152881
03/08/2019,Power Systems,Civil & Construction,1691626
03/08/2019,Power Systems,Connectors,1405443
03/08/2019,Power Systems,EMC,238887
03/08/2019,Power Systems,Enclosures,805444
03/08/2019,Power Systems,HPS Brazil,96000
03/08/2019,Power Systems,HPS China,24541
03/08/2019,Power Systems,Switching Fusing,438883
03/08/2019,Power Systems,Tools and Equipment,364207
03/08/2019,Power Systems,Total Bushings,396800
03/08/2019,Power Systems,Utility Automation,266838
03/08/2019,Power Systems - Aclara,AMI,565621
03/08/2019,Power Systems - Aclara,Meters,656234
03/11/2019,Commercial & Industrial,ACME,192579
03/11/2019,Commercial & Industrial,Gleason Reel,179301
03/11/2019,Commercial & Industrial,Haefely,8642
03/11/2019,Commercial & Industrial,Hipotronics,27529
03/11/2019,Commercial & Industrial,Industrial Controls,814391
03/11/2019,Commercial & Industrial,Raco/TayMac,1063946
03/11/2019,Commercial & Industrial,WBP,1396010
03/11/2019,Commercial & Industrial,Wiegmann,127513
03/11/2019,Construction & Energy,Austdac,130116
03/11/2019,Construction & Energy,Burndy - US,977955
03/11/2019,Construction & Energy,CMC,348476
03/11/2019,Construction & Energy,Continental Industries,323711
03/11/2019,Construction & Energy,GAI-Tronics - UK,34234
03/11/2019,Construction & Energy,GAI-Tronics - US,143464
03/11/2019,Construction & Energy,Hawke - UK,64456
03/11/2019,Construction & Energy,Hubbell Canada,274140
03/11/2019,Construction & Energy,Hubbell Products Mexico,140560
03/11/2019,Construction & Energy,Hubbell Scotland,39303
03/11/2019,Construction & Energy,Killark,501150
03/11/2019,Construction & Energy,Lyall,111100
03/11/2019,Hubbell Lighting,C & I,3406228
03/11/2019,Hubbell Lighting,Residential,1428726
03/11/2019,Integrated Solutions,Integrated Solutions,2986
03/11/2019,Power Systems,Aiken - Arresters,186666
03/11/2019,Power Systems,Aiken - Cable Acc,19923
03/11/2019,Power Systems,Aiken - Insulator,271415
03/11/2019,Power Systems,Civil & Construction,655443
03/11/2019,Power Systems,Connectors,817780
03/11/2019,Power Systems,EMC,223976
03/11/2019,Power Systems,Enclosures,195848
03/11/2019,Power Systems,HPS Brazil,230000
03/11/2019,Power Systems,HPS China,28447
03/11/2019,Power Systems,Switching Fusing,218301
03/11/2019,Power Systems,Tools and Equipment,187401
03/11/2019,Power Systems,Total Bushings,347015
03/11/2019,Power Systems,Utility Automation,7164
03/11/2019,Power Systems - Aclara,AMI,241538
03/11/2019,Power Systems - Aclara,Meters,981204
03/12/2019,Commercial & Industrial,ACME,165228
03/12/2019,Commercial & Industrial,Gleason Reel,158703
03/12/2019,Commercial & Industrial,Haefely,18197
03/12/2019,Commercial & Industrial,Hipotronics,23136
03/12/2019,Commercial & Industrial,Industrial Controls,273989
03/12/2019,Commercial & Industrial,Raco/TayMac,952620
03/12/2019,Commercial & Industrial,WBP,2120473
03/12/2019,Commercial & Industrial,Wiegmann,176040
03/12/2019,Construction & Energy,Austdac,243267
03/12/2019,Construction & Energy,Burndy - US,1034047
03/12/2019,Construction & Energy,CMC,115594
03/12/2019,Construction & Energy,Continental Industries,88309
03/12/2019,Construction & Energy,GAI-Tronics - UK,53955
03/12/2019,Construction & Energy,GAI-Tronics - US,57937
03/12/2019,Construction & Energy,Hawke - UK,53505
03/12/2019,Construction & Energy,Hubbell Canada,559775
03/12/2019,Construction & Energy,Hubbell Products Mexico,136817
03/12/2019,Construction & Energy,Hubbell Scotland,447938
03/12/2019,Construction & Energy,Killark,16724
03/12/2019,Construction & Energy,Lyall,548400
03/12/2019,Hubbell Lighting,C & I,2436004
03/12/2019,Hubbell Lighting,Residential,801642
03/12/2019,Integrated Solutions,Integrated Solutions,84433
03/12/2019,Power Systems,Aiken - Arresters,344542
03/12/2019,Power Systems,Aiken - Cable Acc,121551
03/12/2019,Power Systems,Aiken - Insulator,143444
03/12/2019,Power Systems,Civil & Construction,701778
03/12/2019,Power Systems,Connectors,997212
03/12/2019,Power Systems,EMC,209534
03/12/2019,Power Systems,Enclosures,594415
03/12/2019,Power Systems,HPS Brazil,147000
03/12/2019,Power Systems,HPS China,64841
03/12/2019,Power Systems,Switching Fusing,697740
03/12/2019,Power Systems,Tools and Equipment,206167
03/12/2019,Power Systems,Total Bushings,326486
03/12/2019,Power Systems,Utility Automation,198982
03/12/2019,Power Systems - Aclara,AMI,632408
03/12/2019,Power Systems - Aclara,Meters,233034
03/13/2019,Commercial & Industrial,ACME,151061
03/13/2019,Commercial & Industrial,Gleason Reel,295536
03/13/2019,Commercial & Industrial,Haefely,11438
03/13/2019,Commercial & Industrial,Hipotronics,24488
03/13/2019,Commercial & Industrial,Industrial Controls,258264
03/13/2019,Commercial & Industrial,Raco/TayMac,912392
03/13/2019,Commercial & Industrial,WBP,2124679
03/13/2019,Commercial & Industrial,Wiegmann,149164
03/13/2019,Construction & Energy,Austdac,56622
03/13/2019,Construction & Energy,Burndy - US,684284
03/13/2019,Construction & Energy,CMC,704124
03/13/2019,Construction & Energy,Continental Industries,214333
03/13/2019,Construction & Energy,GAI-Tronics - UK,88899
03/13/2019,Construction & Energy,GAI-Tronics - US,164752
03/13/2019,Construction & Energy,Hawke - UK,12644
03/13/2019,Construction & Energy,Hubbell Canada,376030
03/13/2019,Construction & Energy,Hubbell Products Mexico,69177
03/13/2019,Construction & Energy,Hubbell Scotland,78161
03/13/2019,Construction & Energy,Killark,496512
03/13/2019,Construction & Energy,Lyall,-320800
03/13/2019,Hubbell Lighting,C & I,2328353
03/13/2019,Hubbell Lighting,Residential,688771
03/13/2019,Integrated Solutions,Integrated Solutions,10992
03/13/2019,Power Systems,Aiken - Arresters,326902
03/13/2019,Power Systems,Aiken - Cable Acc,247864
03/13/2019,Power Systems,Aiken - Insulator,205778
03/13/2019,Power Systems,Civil & Construction,1040867
03/13/2019,Power Systems,Connectors,839765
03/13/2019,Power Systems,EMC,33525
03/13/2019,Power Systems,Enclosures,1042599
03/13/2019,Power Systems,HPS Brazil,37000
03/13/2019,Power Systems,HPS China,4219
03/13/2019,Power Systems,Switching Fusing,517469
03/13/2019,Power Systems,Tools and Equipment,588847
03/13/2019,Power Systems,Total Bushings,504680
03/13/2019,Power Systems,Utility Automation,-194392
03/13/2019,Power Systems - Aclara,AMI,627671
03/13/2019,Power Systems - Aclara,Meters,411208
03/14/2019,Commercial & Industrial,ACME,203882
03/14/2019,Commercial & Industrial,Gleason Reel,136071
03/14/2019,Commercial & Industrial,Haefely,35029
03/14/2019,Commercial & Industrial,Hipotronics,63060
03/14/2019,Commercial & Industrial,Industrial Controls,168017
03/14/2019,Commercial & Industrial,Raco/TayMac,586666
03/14/2019,Commercial & Industrial,WBP,1371271
03/14/2019,Commercial & Industrial,Wiegmann,241834
03/14/2019,Construction & Energy,Austdac,97851
03/14/2019,Construction & Energy,Burndy - US,934614
03/14/2019,Construction & Energy,CMC,626162
03/14/2019,Construction & Energy,Continental Industries,208451
03/14/2019,Construction & Energy,GAI-Tronics - UK,43201
03/14/2019,Construction & Energy,GAI-Tronics - US,106499
03/14/2019,Construction & Energy,Hawke - UK,47988
03/14/2019,Construction & Energy,Hubbell Canada,391075
03/14/2019,Construction & Energy,Hubbell Products Mexico,222087
03/14/2019,Construction & Energy,Hubbell Scotland,498422
03/14/2019,Construction & Energy,Killark,306877
03/14/2019,Construction & Energy,Lyall,145800
03/14/2019,Hubbell Lighting,C & I,2100595
03/14/2019,Hubbell Lighting,Residential,620545
03/14/2019,Integrated Solutions,Integrated Solutions,93654
03/14/2019,Power Systems,Aiken - Arresters,325860
03/14/2019,Power Systems,Aiken - Cable Acc,218042
03/14/2019,Power Systems,Aiken - Insulator,291487
03/14/2019,Power Systems,Civil & Construction,807059
03/14/2019,Power Systems,Connectors,804984
03/14/2019,Power Systems,EMC,87284
03/14/2019,Power Systems,Enclosures,692951
03/14/2019,Power Systems,HPS Brazil,85000
03/14/2019,Power Systems,HPS China,-3532
03/14/2019,Power Systems,Switching Fusing,666419
03/14/2019,Power Systems,Tools and Equipment,495945
03/14/2019,Power Systems,Total Bushings,184880
03/14/2019,Power Systems,Utility Automation,346595
03/14/2019,Power Systems - Aclara,AMI,599976
03/14/2019,Power Systems - Aclara,Meters,671982
03/15/2019,Commercial & Industrial,ACME,729293
03/15/2019,Commercial & Industrial,Gleason Reel,223227
03/15/2019,Commercial & Industrial,Haefely,37698
03/15/2019,Commercial & Industrial,Hipotronics,2842
03/15/2019,Commercial & Industrial,Industrial Controls,244873
03/15/2019,Commercial & Industrial,Raco/TayMac,543934
03/15/2019,Commercial & Industrial,WBP,1568374
03/15/2019,Commercial & Industrial,Wiegmann,153971
03/15/2019,Construction & Energy,Austdac,40912
03/15/2019,Construction & Energy,Burndy - US,1213597
03/15/2019,Construction & Energy,CMC,427342
03/15/2019,Construction & Energy,Continental Industries,269623
03/15/2019,Construction & Energy,GAI-Tronics - UK,25648
03/15/2019,Construction & Energy,GAI-Tronics - US,317719
03/15/2019,Construction & Energy,Hawke - UK,124228
03/15/2019,Construction & Energy,Hubbell Canada,726685
03/15/2019,Construction & Energy,Hubbell Products Mexico,143280
03/15/2019,Construction & Energy,Hubbell Scotland,270070
03/15/2019,Construction & Energy,Killark,451325
03/15/2019,Construction & Energy,Lyall,208400
03/15/2019,Hubbell Lighting,C & I,2118405
03/15/2019,Hubbell Lighting,Residential,896575
03/15/2019,Integrated Solutions,Integrated Solutions,3577
03/15/2019,Power Systems,Aiken - Arresters,267493
03/15/2019,Power Systems,Aiken - Cable Acc,72553
03/15/2019,Power Systems,Aiken - Insulator,643148
03/15/2019,Power Systems,Civil & Construction,1207184
03/15/2019,Power Systems,Connectors,906621
03/15/2019,Power Systems,EMC,102480
03/15/2019,Power Systems,Enclosures,1178400
03/15/2019,Power Systems,HPS Brazil,9000
03/15/2019,Power Systems,Switching Fusing,569257
03/15/2019,Power Systems,Tools and Equipment,348858
03/15/2019,Power Systems,Total Bushings,288502
03/15/2019,Power Systems,Utility Automation,553417
03/15/2019,Power Systems - Aclara,AMI,174848
03/15/2019,Power Systems - Aclara,Meters,459721
03/18/2019,Commercial & Industrial,ACME,122744
03/18/2019,Commercial & Industrial,Gleason Reel,55571
03/18/2019,Commercial & Industrial,Haefely,100484
03/18/2019,Commercial & Industrial,Hipotronics,52138
03/18/2019,Commercial & Industrial,Industrial Controls,305480
03/18/2019,Commercial & Industrial,Raco/TayMac,1060336
03/18/2019,Commercial & Industrial,WBP,1375054
03/18/2019,Commercial & Industrial,Wiegmann,216389
03/18/2019,Construction & Energy,Austdac,66122
03/18/2019,Construction & Energy,Burndy - US,1027864
03/18/2019,Construction & Energy,CMC,516036
03/18/2019,Construction & Energy,Continental Industries,311656
03/18/2019,Construction & Energy,GAI-Tronics - UK,53311
03/18/2019,Construction & Energy,GAI-Tronics - US,111067
03/18/2019,Construction & Energy,Hawke - UK,54276
03/18/2019,Construction & Energy,Hubbell Canada,434872
03/18/2019,Construction & Energy,Hubbell Products Mexico,3499
03/18/2019,Construction & Energy,Hubbell Scotland,311096
03/18/2019,Construction & Energy,Killark,640377
03/18/2019,Construction & Energy,Lyall,544200
03/18/2019,Hubbell Lighting,C & I,2728163
03/18/2019,Hubbell Lighting,Residential,1398701
03/18/2019,Integrated Solutions,Integrated Solutions,3480
03/18/2019,Power Systems,Aiken - Arresters,232502
03/18/2019,Power Systems,Aiken - Cable Acc,79071
03/18/2019,Power Systems,Aiken - Insulator,303335
03/18/2019,Power Systems,Civil & Construction,825889
03/18/2019,Power Systems,Connectors,767397
03/18/2019,Power Systems,EMC,220145
03/18/2019,Power Systems,Enclosures,595045
03/18/2019,Power Systems,HPS Brazil,28000
03/18/2019,Power Systems,HPS China,69602
03/18/2019,Power Systems,Switching Fusing,548575
03/18/2019,Power Systems,Tools and Equipment,194508
03/18/2019,Power Systems,Total Bushings,268313
03/18/2019,Power Systems,Utility Automation,50604
03/18/2019,Power Systems - Aclara,AMI,-5904
03/18/2019,Power Systems - Aclara,Meters,323816
03/19/2019,Commercial & Industrial,ACME,136822
03/19/2019,Commercial & Industrial,Gleason Reel,62347
03/19/2019,Commercial & Industrial,Haefely,25197
03/19/2019,Commercial & Industrial,Hipotronics,46792
03/19/2019,Commercial & Industrial,Industrial Controls,240047
03/19/2019,Commercial & Industrial,Raco/TayMac,867995
03/19/2019,Commercial & Industrial,WBP,1305201
03/19/2019,Commercial & Industrial,Wiegmann,236171
03/19/2019,Construction & Energy,Austdac,67351
03/19/2019,Construction & Energy,Burndy - US,776618
03/19/2019,Construction & Energy,CMC,551407
03/19/2019,Construction & Energy,Continental Industries,223470
03/19/2019,Construction & Energy,GAI-Tronics - UK,78982
03/19/2019,Construction & Energy,GAI-Tronics - US,147205
03/19/2019,Construction & Energy,Hawke - UK,41917
03/19/2019,Construction & Energy,Hubbell Canada,516673
03/19/2019,Construction & Energy,Hubbell Products Mexico,90427
03/19/2019,Construction & Energy,Hubbell Scotland,346176
03/19/2019,Construction & Energy,Killark,340943
03/19/2019,Construction & Energy,Lyall,-262700
03/19/2019,Hubbell Lighting,C & I,2190521
03/19/2019,Hubbell Lighting,Residential,823817
03/19/2019,Integrated Solutions,Integrated Solutions,3418
03/19/2019,Power Systems,Aiken - Arresters,289034
03/19/2019,Power Systems,Aiken - Cable Acc,47458
03/19/2019,Power Systems,Aiken - Insulator,42907
03/19/2019,Power Systems,Civil & Construction,729391
03/19/2019,Power Systems,Connectors,845190
03/19/2019,Power Systems,EMC,166061
03/19/2019,Power Systems,Enclosures,580294
03/19/2019,Power Systems,HPS Brazil,12000
03/19/2019,Power Systems,HPS China,36489
03/19/2019,Power Systems,Switching Fusing,607688
03/19/2019,Power Systems,Tools and Equipment,230248
03/19/2019,Power Systems,Total Bushings,192249
03/19/2019,Power Systems,Utility Automation,60578
03/19/2019,Power Systems - Aclara,AMI,48628
03/19/2019,Power Systems - Aclara,Meters,-60463
03/20/2019,Commercial & Industrial,ACME,176999
03/20/2019,Commercial & Industrial,Gleason Reel,64203
03/20/2019,Commercial & Industrial,Haefely,106077
03/20/2019,Commercial & Industrial,Hipotronics,-6157
03/20/2019,Commercial & Industrial,Industrial Controls,249861
03/20/2019,Commercial & Industrial,Raco/TayMac,855937
03/20/2019,Commercial & Industrial,WBP,1994751
03/20/2019,Commercial & Industrial,Wiegmann,143455
03/20/2019,Construction & Energy,Austdac,65603
03/20/2019,Construction & Energy,Burndy - US,1283416
03/20/2019,Construction & Energy,CMC,211628
03/20/2019,Construction & Energy,Continental Industries,240349
03/20/2019,Construction & Energy,GAI-Tronics - UK,35078
03/20/2019,Construction & Energy,GAI-Tronics - US,121757
03/20/2019,Construction & Energy,Hawke - UK,148980
03/20/2019,Construction & Energy,Hubbell Canada,383629
03/20/2019,Construction & Energy,Hubbell Products Mexico,113975
03/20/2019,Construction & Energy,Hubbell Scotland,139166
03/20/2019,Construction & Energy,Killark,259303
03/20/2019,Construction & Energy,Lyall,101200
03/20/2019,Hubbell Lighting,C & I,3245968
03/20/2019,Hubbell Lighting,Residential,617457
03/20/2019,Integrated Solutions,Integrated Solutions,125271
03/20/2019,Power Systems,Aiken - Arresters,212590
03/20/2019,Power Systems,Aiken - Cable Acc,93601
03/20/2019,Power Systems,Aiken - Insulator,124863
03/20/2019,Power Systems,Civil & Construction,846391
03/20/2019,Power Systems,Connectors,745239
03/20/2019,Power Systems,EMC,90927
03/20/2019,Power Systems,Enclosures,693882
03/20/2019,Power Systems,HPS Brazil,117000
03/20/2019,Power Systems,HPS China,33444
03/20/2019,Power Systems,Switching Fusing,489553
03/20/2019,Power Systems,Tools and Equipment,332016
03/20/2019,Power Systems,Total Bushings,221171
03/20/2019,Power Systems,Utility Automation,139590
03/20/2019,Power Systems - Aclara,AMI,560289
03/20/2019,Power Systems - Aclara,Meters,94115
03/21/2019,Commercial & Industrial,ACME,175775
03/21/2019,Commercial & Industrial,Gleason Reel,126267
03/21/2019,Commercial & Industrial,Haefely,118237
03/21/2019,Commercial & Industrial,Hipotronics,7570
03/21/2019,Commercial & Industrial,Industrial Controls,410877
03/21/2019,Commercial & Industrial,Raco/TayMac,720238
03/21/2019,Commercial & Industrial,WBP,1492518
03/21/2019,Commercial & Industrial,Wiegmann,291344
03/21/2019,Construction & Energy,Austdac,263138
03/21/2019,Construction & Energy,Burndy - US,907090
03/21/2019,Construction & Energy,CMC,319301
03/21/2019,Construction & Energy,Continental Industries,298672
03/21/2019,Construction & Energy,GAI-Tronics - UK,81425
03/21/2019,Construction & Energy,GAI-Tronics - US,255757
03/21/2019,Construction & Energy,Hawke - UK,29276
03/21/2019,Construction & Energy,Hubbell Canada,320647
03/21/2019,Construction & Energy,Hubbell Products Mexico,122083
03/21/2019,Construction & Energy,Hubbell Scotland,173029
03/21/2019,Construction & Energy,Killark,96525
03/21/2019,Construction & Energy,Lyall,279200
03/21/2019,Hubbell Lighting,C & I,2578411
03/21/2019,Hubbell Lighting,Residential,887741
03/21/2019,Integrated Solutions,Integrated Solutions,93388
03/21/2019,Power Systems,Aiken - Arresters,279712
03/21/2019,Power Systems,Aiken - Cable Acc,78904
03/21/2019,Power Systems,Aiken - Insulator,160828
03/21/2019,Power Systems,Civil & Construction,1064434
03/21/2019,Power Systems,Connectors,1120071
03/21/2019,Power Systems,EMC,50373
03/21/2019,Power Systems,Enclosures,615484
03/21/2019,Power Systems,HPS Brazil,4000
03/21/2019,Power Systems,HPS China,157928
03/21/2019,Power Systems,Switching Fusing,565479
03/21/2019,Power Systems,Tools and Equipment,363312
03/21/2019,Power Systems,Total Bushings,259654
03/21/2019,Power Systems,Utility Automation,133729
03/21/2019,Power Systems - Aclara,AMI,1345981
03/21/2019,Power Systems - Aclara,Meters,576868
03/22/2019,Commercial & Industrial,ACME,143446
03/22/2019,Commercial & Industrial,Gleason Reel,90213
03/22/2019,Commercial & Industrial,Haefely,69667
03/22/2019,Commercial & Industrial,Hipotronics,31721
03/22/2019,Commercial & Industrial,Industrial Controls,496049
03/22/2019,Commercial & Industrial,Raco/TayMac,805803
03/22/2019,Commercial & Industrial,WBP,1511663
03/22/2019,Commercial & Industrial,Wiegmann,194485
03/22/2019,Construction & Energy,Austdac,64850
03/22/2019,Construction & Energy,Burndy - US,1105419
03/22/2019,Construction & Energy,CMC,115539
03/22/2019,Construction & Energy,Continental Industries,725406
03/22/2019,Construction & Energy,GAI-Tronics - UK,148867
03/22/2019,Construction & Energy,GAI-Tronics - US,109986
03/22/2019,Construction & Energy,Hawke - UK,412168
03/22/2019,Construction & Energy,Hubbell Canada,488480
03/22/2019,Construction & Energy,Hubbell Products Mexico,590092
03/22/2019,Construction & Energy,Hubbell Scotland,42922
03/22/2019,Construction & Energy,Killark,118784
03/22/2019,Construction & Energy,Lyall,374300
03/22/2019,Hubbell Lighting,C & I,2692238
03/22/2019,Hubbell Lighting,Residential,789784
03/22/2019,Integrated Solutions,Integrated Solutions,696
03/22/2019,Power Systems,Aiken - Arresters,229981
03/22/2019,Power Systems,Aiken - Cable Acc,129113
03/22/2019,Power Systems,Aiken - Insulator,81236
03/22/2019,Power Systems,Civil & Construction,755618
03/22/2019,Power Systems,Connectors,565380
03/22/2019,Power Systems,EMC,31976
03/22/2019,Power Systems,Enclosures,510330
03/22/2019,Power Systems,HPS Brazil,78000
03/22/2019,Power Systems,HPS China,64359
03/22/2019,Power Systems,Switching Fusing,665921
03/22/2019,Power Systems,Tools and Equipment,198559
03/22/2019,Power Systems,Total Bushings,390878
03/22/2019,Power Systems,Utility Automation,301934
03/22/2019,Power Systems - Aclara,AMI,68259
03/22/2019,Power Systems - Aclara,Meters,178622
03/25/2019,Commercial & Industrial,ACME,460187
03/25/2019,Commercial & Industrial,Gleason Reel,352326
03/25/2019,Commercial & Industrial,Haefely,12465
03/25/2019,Commercial & Industrial,Hipotronics,74423
03/25/2019,Commercial & Industrial,Industrial Controls,514615
03/25/2019,Commercial & Industrial,Raco/TayMac,1248016
03/25/2019,Commercial & Industrial,WBP,1544849
03/25/2019,Commercial & Industrial,Wiegmann,161746
03/25/2019,Construction & Energy,Austdac,49185
03/25/2019,Construction & Energy,Burndy - US,923077
03/25/2019,Construction & Energy,CMC,487930
03/25/2019,Construction & Energy,Continental Industries,271780
03/25/2019,Construction & Energy,GAI-Tronics - UK,132477
03/25/2019,Construction & Energy,GAI-Tronics - US,62982
03/25/2019,Construction & Energy,Hawke - UK,37000
03/25/2019,Construction & Energy,Hubbell Canada,612756
03/25/2019,Construction & Energy,Hubbell Products Mexico,149599
03/25/2019,Construction & Energy,Hubbell Scotland,252229
03/25/2019,Construction & Energy,Killark,373965
03/25/2019,Construction & Energy,Lyall,997100
03/25/2019,Hubbell Lighting,C & I,2686820
03/25/2019,Hubbell Lighting,Residential,2340363
03/25/2019,Integrated Solutions,Integrated Solutions,6715
03/25/2019,Power Systems,Aiken - Arresters,443940
03/25/2019,Power Systems,Aiken - Cable Acc,59335
03/25/2019,Power Systems,Aiken - Insulator,160726
03/25/2019,Power Systems,Civil & Construction,534172
03/25/2019,Power Systems,Connectors,265042
03/25/2019,Power Systems,EMC,33261
03/25/2019,Power Systems,Enclosures,720191
03/25/2019,Power Systems,HPS Brazil,72000
03/25/2019,Power Systems,HPS China,106634
03/25/2019,Power Systems,Switching Fusing,140012
03/25/2019,Power Systems,Tools and Equipment,205470
03/25/2019,Power Systems,Total Bushings,532929
03/25/2019,Power Systems,Utility Automation,227765
03/25/2019,Power Systems - Aclara,AMI,399668
03/25/2019,Power Systems - Aclara,Meters,343398
03/26/2019,Commercial & Industrial,ACME,119073
03/26/2019,Commercial & Industrial,Gleason Reel,99080
03/26/2019,Commercial & Industrial,Haefely,18774
03/26/2019,Commercial & Industrial,Hipotronics,13607
03/26/2019,Commercial & Industrial,Industrial Controls,351536
03/26/2019,Commercial & Industrial,Raco/TayMac,994714
03/26/2019,Commercial & Industrial,WBP,1748239
03/26/2019,Commercial & Industrial,Wiegmann,125264
03/26/2019,Construction & Energy,Austdac,113858
03/26/2019,Construction & Energy,Burndy - US,1625950
03/26/2019,Construction & Energy,CMC,347335
03/26/2019,Construction & Energy,Continental Industries,272654
03/26/2019,Construction & Energy,GAI-Tronics - UK,52553
03/26/2019,Construction & Energy,GAI-Tronics - US,263208
03/26/2019,Construction & Energy,Hawke - UK,297881
03/26/2019,Construction & Energy,Hubbell Canada,298553
03/26/2019,Construction & Energy,Hubbell Products Mexico,154551
03/26/2019,Construction & Energy,Hubbell Scotland,383246
03/26/2019,Construction & Energy,Killark,319806
03/26/2019,Construction & Energy,Lyall,417300
03/26/2019,Hubbell Lighting,C & I,3191190
03/26/2019,Hubbell Lighting,Residential,1000503
03/26/2019,Integrated Solutions,Integrated Solutions,82160
03/26/2019,Power Systems,Aiken - Arresters,427366
03/26/2019,Power Systems,Aiken - Cable Acc,112452
03/26/2019,Power Systems,Aiken - Insulator,-693167
03/26/2019,Power Systems,Civil & Construction,1248333
03/26/2019,Power Systems,Connectors,878560
03/26/2019,Power Systems,EMC,236875
03/26/2019,Power Systems,Enclosures,1012941
03/26/2019,Power Systems,HPS Brazil,47000
03/26/2019,Power Systems,HPS China,28141
03/26/2019,Power Systems,Switching Fusing,1021679
03/26/2019,Power Systems,Tools and Equipment,270792
03/26/2019,Power Systems,Total Bushings,559864
03/26/2019,Power Systems,Utility Automation,167660
03/26/2019,Power Systems - Aclara,AMI,-540890
03/26/2019,Power Systems - Aclara,Meters,777545
03/27/2019,Commercial & Industrial,ACME,97244
03/27/2019,Commercial & Industrial,Gleason Reel,144460
03/27/2019,Commercial & Industrial,Haefely,292601
03/27/2019,Commercial & Industrial,Hipotronics,38887
03/27/2019,Commercial & Industrial,Industrial Controls,377506
03/27/2019,Commercial & Industrial,Raco/TayMac,1247576
03/27/2019,Commercial & Industrial,WBP,1955932
03/27/2019,Commercial & Industrial,Wiegmann,123866
03/27/2019,Construction & Energy,Austdac,36445
03/27/2019,Construction & Energy,Burndy - US,881069
03/27/2019,Construction & Energy,CMC,171801
03/27/2019,Construction & Energy,Continental Industries,-16454
03/27/2019,Construction & Energy,GAI-Tronics - UK,19376
03/27/2019,Construction & Energy,GAI-Tronics - US,187893
03/27/2019,Construction & Energy,Hawke - UK,23060
03/27/2019,Construction & Energy,Hubbell Canada,367181
03/27/2019,Construction & Energy,Hubbell Products Mexico,98121
03/27/2019,Construction & Energy,Hubbell Scotland,70587
03/27/2019,Construction & Energy,Killark,317271
03/27/2019,Construction & Energy,Lyall,729500
03/27/2019,Hubbell Lighting,C & I,2598146
03/27/2019,Hubbell Lighting,Residential,1032715
03/27/2019,Integrated Solutions,Integrated Solutions,15425
03/27/2019,Power Systems,Aiken - Arresters,402723
03/27/2019,Power Systems,Aiken - Cable Acc,66605
03/27/2019,Power Systems,Aiken - Insulator,411802
03/27/2019,Power Systems,Civil & Construction,710706
03/27/2019,Power Systems,Connectors,601128
03/27/2019,Power Systems,EMC,224926
03/27/2019,Power Systems,Enclosures,861356
03/27/2019,Power Systems,HPS Brazil,46000
03/27/2019,Power Systems,HPS China,37678
