Work Day,Group,Division,Actual $
01/09/2018,Commercial & Industrial,Raco/TayMac,1363474
01/09/2018,Commercial & Industrial,WBP,2126305
01/09/2018,Commercial & Industrial,Wiegmann,165705
01/09/2018,Construction & Energy,Austdac,32969
01/09/2018,Construction & Energy,Burndy - US,1318752
01/09/2018,Construction & Energy,CMC,61249
01/09/2018,Construction & Energy,Continental Industries,325000
01/09/2018,Construction & Energy,GAI-Tronics - UK,59182
01/09/2018,Construction & Energy,GAI-Tronics - US,155682
01/09/2018,Construction & Energy,Hawke - UK,59975
01/09/2018,Construction & Energy,Hubbell Canada,416635
01/09/2018,Construction & Energy,Hubbell Products Mexico,68914
01/09/2018,Construction & Energy,Hubbell Scotland,275441
01/09/2018,Construction & Energy,Killark,254305
01/09/2018,Construction & Energy,Lyall,858000
01/09/2018,Hubbell Lighting,C & I,2653884
01/09/2018,Hubbell Lighting,Residential,835501
01/09/2018,Integrated Solutions,Integrated Solutions,849
01/09/2018,Power Systems,Aiken - Arresters,152750
01/09/2018,Power Systems,Aiken - Cable Acc,60592
01/09/2018,Power Systems,Aiken - Insulator,306677
01/09/2018,Power Systems,Civil & Construction,594170
01/09/2018,Power Systems,Connectors,715934
01/09/2018,Power Systems,EMC,158206
01/09/2018,Power Systems,Enclosures,131048
01/09/2018,Power Systems,HPS Brazil,52000
01/09/2018,Power Systems,HPS China,8433
01/09/2018,Power Systems,Switching Fusing,298896
01/09/2018,Power Systems,Tools and Equipment,262001
01/09/2018,Power Systems,Total Bushings,286772
01/09/2018,Power Systems,Utility Automation,292356
01/10/2018,Commercial & Industrial,ACME,99895
01/10/2018,Commercial & Industrial,Gleason Reel,102482
01/10/2018,Commercial & Industrial,Haefely,23176
01/10/2018,Commercial & Industrial,Hipotronics,11196
01/10/2018,Commercial & Industrial,Industrial Controls,348086
01/10/2018,Commercial & Industrial,Raco/TayMac,720574
01/10/2018,Commercial & Industrial,WBP,1614572
01/10/2018,Commercial & Industrial,Wiegmann,194693
01/10/2018,Construction & Energy,Austdac,20229
01/10/2018,Construction & Energy,Burndy - US,603611
01/10/2018,Construction & Energy,CMC,201571
01/10/2018,Construction & Energy,Continental Industries,463000
01/10/2018,Construction & Energy,GAI-Tronics - UK,48594
01/10/2018,Construction & Energy,GAI-Tronics - US,179011
01/10/2018,Construction & Energy,Hawke - UK,13635
01/10/2018,Construction & Energy,Hubbell Canada,427046
01/10/2018,Construction & Energy,Hubbell Products Mexico,29570
01/10/2018,Construction & Energy,Hubbell Scotland,37168
01/10/2018,Construction & Energy,Killark,277796
01/10/2018,Construction & Energy,Lyall,358000
01/10/2018,Hubbell Lighting,C & I,2490286
01/10/2018,Hubbell Lighting,Residential,697036
01/10/2018,Integrated Solutions,Integrated Solutions,1315
01/10/2018,Power Systems,Aiken - Arresters,303932
01/10/2018,Power Systems,Aiken - Cable Acc,54326
01/10/2018,Power Systems,Aiken - Insulator,249845
01/10/2018,Power Systems,Civil & Construction,566251
01/10/2018,Power Systems,Connectors,517386
01/10/2018,Power Systems,EMC,79011
01/10/2018,Power Systems,Enclosures,640715
01/10/2018,Power Systems,HPS Brazil,704650
01/10/2018,Power Systems,HPS China,222816
01/10/2018,Power Systems,Switching Fusing,249324
01/10/2018,Power Systems,Tools and Equipment,294196
01/10/2018,Power Systems,Total Bushings,172355
01/10/2018,Power Systems,Utility Automation,222957
01/11/2018,Commercial & Industrial,ACME,139883
01/11/2018,Commercial & Industrial,Gleason Reel,127801
01/11/2018,Commercial & Industrial,Haefely,93161
01/11/2018,Commercial & Industrial,Hipotronics,4300
01/11/2018,Commercial & Industrial,Industrial Controls,117723
01/11/2018,Commercial & Industrial,Raco/TayMac,378374
01/11/2018,Commercial & Industrial,WBP,1188579
01/11/2018,Commercial & Industrial,Wiegmann,215642
01/11/2018,Construction & Energy,Burndy - US,770129
01/11/2018,Construction & Energy,CMC,739028
01/11/2018,Construction & Energy,Continental Industries,118000
01/11/2018,Construction & Energy,GAI-Tronics - UK,63850
01/11/2018,Construction & Energy,GAI-Tronics - US,666683
01/11/2018,Construction & Energy,Hawke - UK,58565
01/11/2018,Construction & Energy,Hubbell Canada,403250
01/11/2018,Construction & Energy,Hubbell Products Mexico,61598
01/11/2018,Construction & Energy,Hubbell Scotland,116559
01/11/2018,Construction & Energy,Killark,297084
01/11/2018,Construction & Energy,Lyall,468000
01/11/2018,Hubbell Lighting,C & I,2655985
01/11/2018,Hubbell Lighting,Residential,609417
01/11/2018,Integrated Solutions,Integrated Solutions,2109
01/11/2018,Power Systems,Aiken - Arresters,212518
01/11/2018,Power Systems,Aiken - Cable Acc,88397
01/11/2018,Power Systems,Aiken - Insulator,88869
01/11/2018,Power Systems,Civil & Construction,653003
01/11/2018,Power Systems,Connectors,789457
01/11/2018,Power Systems,EMC,27856
01/11/2018,Power Systems,Enclosures,417439
01/11/2018,Power Systems,HPS Brazil,137000
01/11/2018,Power Systems,HPS China,12231
01/11/2018,Power Systems,Switching Fusing,1006771
01/11/2018,Power Systems,Tools and Equipment,169613
01/11/2018,Power Systems,Total Bushings,307888
01/11/2018,Power Systems,Utility Automation,143022
01/12/2018,Commercial & Industrial,ACME,124992
01/12/2018,Commercial & Industrial,Gleason Reel,73309
01/12/2018,Commercial & Industrial,Haefely,20512
01/12/2018,Commercial & Industrial,Hipotronics,87100
01/12/2018,Commercial & Industrial,Industrial Controls,257663
01/12/2018,Commercial & Industrial,Raco/TayMac,538907
