Calendar Day,Group,Profit Center Group,Gross Order $
12/02/2018,Commercial & Industrial,Bryant Electric,240070.7
12/02/2018,Commercial & Industrial,Gleason Reel,832252.15
12/02/2018,Commercial & Industrial,Hipotronics,546454.03
12/02/2018,Commercial & Industrial,ICD,4108194.87
12/02/2018,Commercial & Industrial,Premise Wiring,1385100.13
12/02/2018,Commercial & Industrial,RACO,5669529.12
12/02/2018,Commercial & Industrial,WDK,7739304.05
12/02/2018,Commercial & Industrial,Wiegmann,1094264.14
12/02/2018,Construction & Energy,Burndy - MX,1305618.67
12/02/2018,Construction & Energy,Burndy - US,7346460.52
12/02/2018,Construction & Energy,CMC,1401450.67
12/02/2018,Construction & Energy,Continental Industries,1263501.85
12/02/2018,Construction & Energy,GAI-Tronics - US,1010742.97
12/02/2018,Construction & Energy,Gai-Tronics Italy,0
12/02/2018,Construction & Energy,GAI-Tronics UK,528503.38
12/02/2018,Construction & Energy,Hawke - UK,441023.7
12/02/2018,Construction & Energy,Hawke - US,117357.11
12/02/2018,Construction & Energy,Hubbell Canada,2844237.15
12/02/2018,Construction & Energy,Hubbell Scotland,714070.75
12/02/2018,Construction & Energy,Killark,1925966.79
12/02/2018,Construction & Energy,RigPower Connectors,21514.56
12/02/2018,Hubbell Lighting,AAL,436852.29
12/02/2018,Hubbell Lighting,Alera,76471.19
12/02/2018,Hubbell Lighting,Beacon,1581419.58
12/02/2018,Hubbell Lighting,Columbia,4126158.01
12/02/2018,Hubbell Lighting,Dual-Lite,1159467.38
12/02/2018,Hubbell Lighting,Hubbell Control Solutions,769168.66
12/02/2018,Hubbell Lighting,Industrial Lighting,331824.03
12/02/2018,Hubbell Lighting,Kim,1238410.59
12/02/2018,Hubbell Lighting,Kurt Versen,25258.78
12/02/2018,Hubbell Lighting,Litecontrol,922374.95
12/02/2018,Hubbell Lighting,Norlux,1116059.35
12/02/2018,Hubbell Lighting,Outdoor,1548295.55
12/02/2018,Hubbell Lighting,Prescolite,939181.88
12/02/2018,Hubbell Lighting,Progress Lighting,5022469.15
12/02/2018,Hubbell Lighting,Security Lighting,98953.97
12/02/2018,Hubbell Lighting,Thomas,242516.88
12/02/2018,Integrated Solutions,iDevices,4070
12/02/2018,Power Systems,Above Ground,179967.86
12/02/2018,Power Systems,Blocks,7740
12/02/2018,Power Systems,Civil,891775.29
12/02/2018,Power Systems,Cutouts  Polymer,1538121.77
12/02/2018,Power Systems,Cutouts  Porcelain,579178.71
12/02/2018,Power Systems,Dist Automation,304195.77
12/02/2018,Power Systems,Distribution Arresters,914397.52
12/02/2018,Power Systems,Distribution Connectors,2288823.98
12/02/2018,Power Systems,Distribution Insulators,309712.53
12/02/2018,Power Systems,Drain,70777.85
12/02/2018,Power Systems,Electro Composites,108644.44
12/02/2018,Power Systems,Fiber & Cable Accessories,106510.71
12/02/2018,Power Systems,Fiber Splice Products,29940.87
12/02/2018,Power Systems,Fiberglass Construction,249081.69
12/02/2018,Power Systems,Fuse Links,154459.96
12/02/2018,Power Systems,Gloves,74287.14
12/02/2018,Power Systems,HotBox,270196.07
12/02/2018,Power Systems,HPS Shanghai,372509.79
12/02/2018,Power Systems,Longbow,312680.91
12/02/2018,Power Systems,OVHD Switches,382580.19
12/02/2018,Power Systems,PCORE,745415
12/02/2018,Power Systems,PenCell,655097.68
12/02/2018,Power Systems,Pole Line Hardware,1528259.65
12/02/2018,Power Systems,Power Load,296395.83
12/02/2018,Power Systems,Resale,925097.86
12/02/2018,Power Systems,Reuel,114671.5
12/02/2018,Power Systems,Sub Automation,359390.88
12/02/2018,Power Systems,Substation Connectors,326760.25
12/02/2018,Power Systems,Substation HC Arresters,227505.58
12/02/2018,Power Systems,Substation SC Arresters,263101.3
12/02/2018,Power Systems,Substation Switches,449364.73
12/02/2018,Power Systems,Traditional Tools,557117.62
12/02/2018,Power Systems,Transmission Arresters,49096.64
12/02/2018,Power Systems,Transmission Connectors,788271.58
12/02/2018,Power Systems,Transmission Insulators,366544.13
12/02/2018,Power Systems,Turner Electric,215406.89
12/02/2018,Power Systems,Under Ground,2674885.08
12/02/2018,Power Systems,URD Accessories,467706.69
12/02/2018,Power Systems,URD Arresters,56081.38
12/02/2018,Power Systems,Utility Anchors,1107550.54
12/09/2018,Commercial & Industrial,ACME,852115.6
12/09/2018,Commercial & Industrial,Bryant Electric,267605.82
12/09/2018,Commercial & Industrial,Gleason Reel,600355.95
12/09/2018,Commercial & Industrial,Hipotronics,275609.61
12/09/2018,Commercial & Industrial,ICD,922062.46
12/09/2018,Commercial & Industrial,Premise Wiring,2405934.51
12/09/2018,Commercial & Industrial,RACO,5894490.28
12/09/2018,Commercial & Industrial,WDK,10182432.15
12/09/2018,Commercial & Industrial,Wiegmann,981428.85
12/09/2018,Construction & Energy,Burndy - MX,947132.34
12/09/2018,Construction & Energy,Burndy - US,5892620.61
12/09/2018,Construction & Energy,CMC,2267291.85
12/09/2018,Construction & Energy,Continental Industries,1927788.9
12/09/2018,Construction & Energy,GAI-Tronics - US,703171.07
12/09/2018,Construction & Energy,Gai-Tronics Italy,0
12/09/2018,Construction & Energy,GAI-Tronics UK,427870.19
12/09/2018,Construction & Energy,Hawke - UK,177066.08
12/09/2018,Construction & Energy,Hawke - US,140761.22
12/09/2018,Construction & Energy,Hubbell Canada,2552943.05
12/09/2018,Construction & Energy,Hubbell Scotland,267738.63
12/09/2018,Construction & Energy,Killark,2359319.46
12/09/2018,Construction & Energy,RigPower Connectors,170830.62
12/09/2018,Hubbell Lighting,AAL,524625.47
12/09/2018,Hubbell Lighting,Alera,91739.46
12/09/2018,Hubbell Lighting,Beacon,863222.38
12/09/2018,Hubbell Lighting,Columbia,3902347.98
12/09/2018,Hubbell Lighting,Dual-Lite,1037134.52
12/09/2018,Hubbell Lighting,Hubbell Control Solutions,783475.24
12/09/2018,Hubbell Lighting,Industrial Lighting,919090.56
12/09/2018,Hubbell Lighting,Kim,743104.67
12/09/2018,Hubbell Lighting,Kurt Versen,66379.08
12/09/2018,Hubbell Lighting,Litecontrol,847394.3
12/09/2018,Hubbell Lighting,Norlux,959518.44
12/09/2018,Hubbell Lighting,Outdoor,1084692.85
12/09/2018,Hubbell Lighting,Prescolite,915443.98
12/09/2018,Hubbell Lighting,Progress Lighting,5086031.31
12/09/2018,Hubbell Lighting,Security Lighting,204639.5
12/09/2018,Hubbell Lighting,Thomas,202093.03
12/09/2018,Integrated Solutions,iDevices,0
12/09/2018,Power Systems,Above Ground,173781.27
12/09/2018,Power Systems,Blocks,163369.44
12/09/2018,Power Systems,Civil,485606.95
12/09/2018,Power Systems,Cutouts  Polymer,1108605.25
12/09/2018,Power Systems,Cutouts  Porcelain,332669.49
12/09/2018,Power Systems,Dist Automation,444536.39
12/09/2018,Power Systems,Distribution Arresters,984560.64
12/09/2018,Power Systems,Distribution Connectors,2079262.79
12/09/2018,Power Systems,Distribution Insulators,327266.34
12/09/2018,Power Systems,Drain,30376.98
12/09/2018,Power Systems,Electro Composites,103936.76
12/09/2018,Power Systems,Fiber & Cable Accessories,86228.32
12/09/2018,Power Systems,Fiber Splice Products,14437.51
12/09/2018,Power Systems,Fiberglass Construction,318652.04
12/09/2018,Power Systems,Fuse Links,154316.4
12/09/2018,Power Systems,Gloves,68007.93
12/09/2018,Power Systems,HotBox,221072.62
12/09/2018,Power Systems,HPS Shanghai,210185.26
12/09/2018,Power Systems,Longbow,233219.56
12/09/2018,Power Systems,OVHD Switches,696536.67
12/09/2018,Power Systems,PCORE,506577
12/09/2018,Power Systems,PenCell,374079.94
12/09/2018,Power Systems,Pole Line Hardware,2201424.69
12/09/2018,Power Systems,Power Load,296337.47
12/09/2018,Power Systems,Resale,241486.62
12/09/2018,Power Systems,Reuel,183003.88
12/09/2018,Power Systems,Sub Automation,148157.47
12/09/2018,Power Systems,Substation Connectors,305577.18
12/09/2018,Power Systems,Substation HC Arresters,203168.3
12/09/2018,Power Systems,Substation SC Arresters,329337.15
12/09/2018,Power Systems,Substation Switches,761591.09
12/09/2018,Power Systems,Traditional Tools,543291.78
12/09/2018,Power Systems,Transmission Arresters,420389.14
12/09/2018,Power Systems,Transmission Connectors,1287348.15
12/09/2018,Power Systems,Transmission Insulators,646112.61
12/09/2018,Power Systems,Turner Electric,268945.03
12/09/2018,Power Systems,Under Ground,2054504.25
12/09/2018,Power Systems,URD Accessories,447812.76
12/09/2018,Power Systems,URD Arresters,127589.24
12/09/2018,Power Systems,Utility Anchors,1274252.76
12/16/2018,Commercial & Industrial,ACME,588532.94
12/16/2018,Commercial & Industrial,Bryant Electric,316524.78
12/16/2018,Commercial & Industrial,Gleason Reel,707177.96
12/16/2018,Commercial & Industrial,Hipotronics,1864121.68
12/16/2018,Commercial & Industrial,ICD,1424476.14
12/16/2018,Commercial & Industrial,Premise Wiring,1428296.83
12/16/2018,Commercial & Industrial,RACO,4753624.1
12/16/2018,Commercial & Industrial,WDK,8740963.85
12/16/2018,Commercial & Industrial,Wiegmann,1119000.16
12/16/2018,Construction & Energy,Burndy - MX,501807.73
12/16/2018,Construction & Energy,Burndy - US,6249362.21
12/16/2018,Construction & Energy,CMC,1180975.18
12/16/2018,Construction & Energy,Continental Industries,1922596.53
12/16/2018,Construction & Energy,GAI-Tronics - US,607909.48
12/16/2018,Construction & Energy,Gai-Tronics Italy,0
12/16/2018,Construction & Energy,GAI-Tronics UK,364790
12/16/2018,Construction & Energy,Hawke - UK,196252.12
12/16/2018,Construction & Energy,Hawke - US,179887.74
12/16/2018,Construction & Energy,Hubbell Canada,3528828.89
12/16/2018,Construction & Energy,Hubbell Scotland,454153.75
12/16/2018,Construction & Energy,Killark,1529971.7
12/16/2018,Construction & Energy,RigPower Connectors,71474.42
12/16/2018,Hubbell Lighting,AAL,689875.66
12/16/2018,Hubbell Lighting,Alera,67091.18
12/16/2018,Hubbell Lighting,Beacon,1342858.94
12/16/2018,Hubbell Lighting,Columbia,4154718.51
12/16/2018,Hubbell Lighting,Dual-Lite,1477181.78
12/16/2018,Hubbell Lighting,Hubbell Control Solutions,1092623.79
12/16/2018,Hubbell Lighting,Industrial Lighting,213276.55
12/16/2018,Hubbell Lighting,Kim,556413.95
12/16/2018,Hubbell Lighting,Kurt Versen,1841.22
12/16/2018,Hubbell Lighting,Litecontrol,1759934.76
12/16/2018,Hubbell Lighting,Norlux,283515.64
12/16/2018,Hubbell Lighting,Outdoor,1160000.2
12/16/2018,Hubbell Lighting,Prescolite,944475.34
12/16/2018,Hubbell Lighting,Progress Lighting,4796309.62
12/16/2018,Hubbell Lighting,Security Lighting,157571.98
12/16/2018,Hubbell Lighting,Thomas,288227.55
12/16/2018,Integrated Solutions,iDevices,0
12/16/2018,Power Systems,Above Ground,261406.34
12/16/2018,Power Systems,Blocks,17604
12/16/2018,Power Systems,Civil,834348.59
12/16/2018,Power Systems,Cutouts  Polymer,825325.99
12/16/2018,Power Systems,Cutouts  Porcelain,494857.13
12/16/2018,Power Systems,Dist Automation,357896.82
12/16/2018,Power Systems,Distribution Arresters,753197.63
12/16/2018,Power Systems,Distribution Connectors,1827594.97
12/16/2018,Power Systems,Distribution Insulators,151862.84
12/16/2018,Power Systems,Drain,77656
12/16/2018,Power Systems,Electro Composites,146539.63
12/16/2018,Power Systems,Fiber & Cable Accessories,263774.8
12/16/2018,Power Systems,Fiber Splice Products,67178.84
12/16/2018,Power Systems,Fiberglass Construction,281673.55
12/16/2018,Power Systems,Fuse Links,103177.85
12/16/2018,Power Systems,Gloves,72819.06
12/16/2018,Power Systems,HotBox,309399.25
12/16/2018,Power Systems,HPS Shanghai,85165.4
12/16/2018,Power Systems,Longbow,265179.51
12/16/2018,Power Systems,OVHD Switches,398771.62
12/16/2018,Power Systems,PCORE,1744364
12/16/2018,Power Systems,PenCell,308171.5
12/16/2018,Power Systems,Pole Line Hardware,1435345.29
12/16/2018,Power Systems,Power Load,148050.53
12/16/2018,Power Systems,Resale,420550.33
12/16/2018,Power Systems,Reuel,61293.91
12/16/2018,Power Systems,Sub Automation,299810.3
12/16/2018,Power Systems,Substation Connectors,265101.75
12/16/2018,Power Systems,Substation HC Arresters,331404.36
12/16/2018,Power Systems,Substation SC Arresters,355722.06
12/16/2018,Power Systems,Substation Switches,549720.58
12/16/2018,Power Systems,Traditional Tools,645498.62
12/16/2018,Power Systems,Transmission Arresters,70432.76
12/16/2018,Power Systems,Transmission Connectors,849874.91
12/16/2018,Power Systems,Transmission Insulators,521775.07
12/16/2018,Power Systems,Turner Electric,332464.07
12/16/2018,Power Systems,Under Ground,2296169.61
12/16/2018,Power Systems,URD Accessories,429580.53
12/16/2018,Power Systems,URD Arresters,92945.18
12/16/2018,Power Systems,Utility Anchors,1029514.78
12/23/2018,Commercial & Industrial,ACME,947375.42
12/23/2018,Commercial & Industrial,Bryant Electric,466244.46
12/23/2018,Commercial & Industrial,Gleason Reel,558614.52
12/23/2018,Commercial & Industrial,Hipotronics,197089.58
12/23/2018,Commercial & Industrial,ICD,1936198.68
12/23/2018,Commercial & Industrial,Premise Wiring,952373.7
12/23/2018,Commercial & Industrial,RACO,5017993.65
12/23/2018,Commercial & Industrial,WDK,8337709.93
12/23/2018,Commercial & Industrial,Wiegmann,892070.17
12/23/2018,Construction & Energy,Burndy - MX,626992.77
12/23/2018,Construction & Energy,Burndy - US,5215508.21
12/23/2018,Construction & Energy,CMC,1497555.17
12/23/2018,Construction & Energy,Continental Industries,1312622.54
12/23/2018,Construction & Energy,GAI-Tronics - US,1458662.28
12/23/2018,Construction & Energy,Gai-Tronics Italy,0
12/23/2018,Construction & Energy,GAI-Tronics UK,306279.85
12/23/2018,Construction & Energy,Hawke - UK,149826.47
12/23/2018,Construction & Energy,Hawke - US,91746.15
12/23/2018,Construction & Energy,Hubbell Canada,2603530.56
12/23/2018,Construction & Energy,Hubbell Scotland,754803.6
12/23/2018,Construction & Energy,Killark,1471821.91
12/23/2018,Construction & Energy,RigPower Connectors,69631.08
12/23/2018,Hubbell Lighting,AAL,500910.55
12/23/2018,Hubbell Lighting,Alera,85284.03
12/23/2018,Hubbell Lighting,Beacon,1213714.16
12/23/2018,Hubbell Lighting,Columbia,6395701.32
12/23/2018,Hubbell Lighting,Dual-Lite,1504042.95
12/23/2018,Hubbell Lighting,Hubbell Control Solutions,851419.63
12/23/2018,Hubbell Lighting,Industrial Lighting,386328.45
12/23/2018,Hubbell Lighting,Kim,1062542.2
12/23/2018,Hubbell Lighting,Kurt Versen,35107.72
12/23/2018,Hubbell Lighting,Litecontrol,1037775.93
12/23/2018,Hubbell Lighting,Norlux,324940.33
12/23/2018,Hubbell Lighting,Outdoor,1170605.2
12/23/2018,Hubbell Lighting,Prescolite,994651.36
12/23/2018,Hubbell Lighting,Progress Lighting,5718316.67
12/23/2018,Hubbell Lighting,Security Lighting,166964.9
12/23/2018,Hubbell Lighting,Thomas,227985.02
12/23/2018,Integrated Solutions,iDevices,48206.06
12/23/2018,Power Systems,Above Ground,141028.61
12/23/2018,Power Systems,Blocks,5008.5
12/23/2018,Power Systems,Civil,881526.27
12/23/2018,Power Systems,Cutouts  Polymer,1037663.6
12/23/2018,Power Systems,Cutouts  Porcelain,330266.91
12/23/2018,Power Systems,Dist Automation,603194.79
12/23/2018,Power Systems,Distribution Arresters,1053520.06
12/23/2018,Power Systems,Distribution Connectors,3082939.06
12/23/2018,Power Systems,Distribution Insulators,325009.04
12/23/2018,Power Systems,Drain,59078.36
12/23/2018,Power Systems,Electro Composites,103146.31
12/23/2018,Power Systems,Fiber & Cable Accessories,51606.86
12/23/2018,Power Systems,Fiber Splice Products,29710.76
12/23/2018,Power Systems,Fiberglass Construction,277972.35
12/23/2018,Power Systems,Fuse Links,182779.27
12/23/2018,Power Systems,Gloves,118105.1
12/23/2018,Power Systems,HotBox,132596.64
12/23/2018,Power Systems,HPS Shanghai,91778.36
12/23/2018,Power Systems,Longbow,72828.24
12/23/2018,Power Systems,OVHD Switches,715529.85
12/23/2018,Power Systems,PCORE,491298
12/23/2018,Power Systems,PenCell,581255.76
12/23/2018,Power Systems,Pole Line Hardware,2101351.54
12/23/2018,Power Systems,Power Load,69681.84
12/23/2018,Power Systems,Resale,203500.07
12/23/2018,Power Systems,Reuel,530474.6
12/23/2018,Power Systems,Sub Automation,373704.05
12/23/2018,Power Systems,Substation Connectors,403756.37
12/23/2018,Power Systems,Substation HC Arresters,179904.55
12/23/2018,Power Systems,Substation SC Arresters,237908.07
12/23/2018,Power Systems,Substation Switches,670336.78
12/23/2018,Power Systems,Traditional Tools,695847.48
12/23/2018,Power Systems,Transmission Arresters,701727.37
12/23/2018,Power Systems,Transmission Connectors,1358376.6
12/23/2018,Power Systems,Transmission Insulators,1614150.91
12/23/2018,Power Systems,Turner Electric,128384.63
12/23/2018,Power Systems,Under Ground,2366585.72
12/23/2018,Power Systems,URD Accessories,1699339.8
12/23/2018,Power Systems,URD Arresters,93476.14
12/23/2018,Power Systems,Utility Anchors,1451706.41
12/30/2018,Commercial & Industrial,ACME,339213.71
12/30/2018,Commercial & Industrial,Bryant Electric,141772.27
12/30/2018,Commercial & Industrial,Gleason Reel,357359.45
12/30/2018,Commercial & Industrial,Hipotronics,599955.69
12/30/2018,Commercial & Industrial,ICD,1040810.77
12/30/2018,Commercial & Industrial,Premise Wiring,419595.82
12/30/2018,Commercial & Industrial,RACO,3616093.18
12/30/2018,Commercial & Industrial,WDK,5042354.71
12/30/2018,Commercial & Industrial,Wiegmann,508735.55
12/30/2018,Construction & Energy,Burndy - MX,427756.26
12/30/2018,Construction & Energy,Burndy - US,3292239.78
12/30/2018,Construction & Energy,CMC,883303.23
12/30/2018,Construction & Energy,Continental Industries,645100.28
12/30/2018,Construction & Energy,GAI-Tronics - US,339306.74
12/30/2018,Construction & Energy,Gai-Tronics Italy,0
12/30/2018,Construction & Energy,GAI-Tronics UK,11458.23
12/30/2018,Construction & Energy,Hawke - UK,0
12/30/2018,Construction & Energy,Hawke - US,100313.93
12/30/2018,Construction & Energy,Hubbell Canada,617390.95
12/30/2018,Construction & Energy,Hubbell Scotland,0
12/30/2018,Construction & Energy,Killark,574369.57
12/30/2018,Construction & Energy,RigPower Connectors,3084.74
12/30/2018,Hubbell Lighting,AAL,636819.74
12/30/2018,Hubbell Lighting,Alera,14762.32
12/30/2018,Hubbell Lighting,Beacon,736058.66
12/30/2018,Hubbell Lighting,Columbia,2885904.34
12/30/2018,Hubbell Lighting,Dual-Lite,1056761.3
12/30/2018,Hubbell Lighting,Hubbell Control Solutions,201298.02
12/30/2018,Hubbell Lighting,Industrial Lighting,125899.58
12/30/2018,Hubbell Lighting,Kim,542274.85
12/30/2018,Hubbell Lighting,Kurt Versen,13034.34
12/30/2018,Hubbell Lighting,Litecontrol,481828.69
12/30/2018,Hubbell Lighting,Norlux,150460.8
12/30/2018,Hubbell Lighting,Outdoor,388069.27
12/30/2018,Hubbell Lighting,Prescolite,752471.63
12/30/2018,Hubbell Lighting,Progress Lighting,2718826.19
12/30/2018,Hubbell Lighting,Security Lighting,86625.75
12/30/2018,Hubbell Lighting,Thomas,126419.93
12/30/2018,Integrated Solutions,iDevices,0
12/30/2018,Power Systems,Above Ground,179154.12
12/30/2018,Power Systems,Blocks,0
12/30/2018,Power Systems,Civil,-673524.52
12/30/2018,Power Systems,Cutouts  Polymer,356139.36
12/30/2018,Power Systems,Cutouts  Porcelain,196242.98
12/30/2018,Power Systems,Dist Automation,224221.38
12/30/2018,Power Systems,Distribution Arresters,421217.78
12/30/2018,Power Systems,Distribution Connectors,1171174.66
12/30/2018,Power Systems,Distribution Insulators,55926.93
12/30/2018,Power Systems,Drain,23572.15
12/30/2018,Power Systems,Electro Composites,0
12/30/2018,Power Systems,Fiber & Cable Accessories,22133.96
12/30/2018,Power Systems,Fiber Splice Products,6381.91
12/30/2018,Power Systems,Fiberglass Construction,124693.95
12/30/2018,Power Systems,Fuse Links,67803.24
12/30/2018,Power Systems,Gloves,34592.67
12/30/2018,Power Systems,HotBox,51591.47
12/30/2018,Power Systems,HPS Shanghai,113995.8
12/30/2018,Power Systems,Longbow,5738460.13
12/30/2018,Power Systems,OVHD Switches,242585.63
12/30/2018,Power Systems,PCORE,325767
12/30/2018,Power Systems,PenCell,387500.4
12/30/2018,Power Systems,Pole Line Hardware,726095.35
12/30/2018,Power Systems,Power Load,478627.21
12/30/2018,Power Systems,Resale,221662.27
12/30/2018,Power Systems,Reuel,13849.34
12/30/2018,Power Systems,Sub Automation,377346.47
12/30/2018,Power Systems,Substation Connectors,339922.44
12/30/2018,Power Systems,Substation HC Arresters,74253.66
12/30/2018,Power Systems,Substation SC Arresters,96474.78
12/30/2018,Power Systems,Substation Switches,184964.36
12/30/2018,Power Systems,Traditional Tools,665137.72
12/30/2018,Power Systems,Transmission Arresters,472751.16
12/30/2018,Power Systems,Transmission Connectors,1011585.66
12/30/2018,Power Systems,Transmission Insulators,381329.49
12/30/2018,Power Systems,Turner Electric,56608.86
12/30/2018,Power Systems,Under Ground,1225715.61
12/30/2018,Power Systems,URD Accessories,324555.83
12/30/2018,Power Systems,URD Arresters,99057.73
12/30/2018,Power Systems,Utility Anchors,943577.9
01/06/2019,Commercial & Industrial,ACME,649326.87
01/06/2019,Commercial & Industrial,Bryant Electric,298781.22
01/06/2019,Commercial & Industrial,Gleason Reel,395177.52
01/06/2019,Commercial & Industrial,Hipotronics,41636.08
01/06/2019,Commercial & Industrial,ICD,1071986.75
01/06/2019,Commercial & Industrial,Premise Wiring,1031106.2
01/06/2019,Commercial & Industrial,RACO,3548035.78
01/06/2019,Commercial & Industrial,WDK,4631625.09
01/06/2019,Commercial & Industrial,Wiegmann,517112.97
01/06/2019,Construction & Energy,Burndy - MX,295623.46
01/06/2019,Construction & Energy,Burndy - US,3287017.09
01/06/2019,Construction & Energy,CMC,601508.39
01/06/2019,Construction & Energy,Continental Industries,1171016.23
01/06/2019,Construction & Energy,GAI-Tronics - US,856681.98
01/06/2019,Construction & Energy,Gai-Tronics Italy,0
01/06/2019,Construction & Energy,GAI-Tronics UK,443517.93
01/06/2019,Construction & Energy,Hawke - UK,376550.02
01/06/2019,Construction & Energy,Hawke - US,91027.46
01/06/2019,Construction & Energy,Hubbell Canada,1370193.64
01/06/2019,Construction & Energy,Hubbell Scotland,569941.38
01/06/2019,Construction & Energy,Killark,903168.42
01/06/2019,Construction & Energy,RigPower Connectors,78871.42
01/06/2019,Hubbell Lighting,AAL,386216.45
01/06/2019,Hubbell Lighting,Alera,66237.16
01/06/2019,Hubbell Lighting,Beacon,839431.1
01/06/2019,Hubbell Lighting,Columbia,2181446.03
01/06/2019,Hubbell Lighting,Dual-Lite,674736.7
01/06/2019,Hubbell Lighting,Hubbell Control Solutions,584200.14
01/06/2019,Hubbell Lighting,Industrial Lighting,210075.24
01/06/2019,Hubbell Lighting,Kim,744846.89
01/06/2019,Hubbell Lighting,Kurt Versen,141132.96
01/06/2019,Hubbell Lighting,Litecontrol,427059.28
01/06/2019,Hubbell Lighting,Norlux,610583.94
01/06/2019,Hubbell Lighting,Outdoor,1308329.75
01/06/2019,Hubbell Lighting,Prescolite,539583.8
01/06/2019,Hubbell Lighting,Progress Lighting,3656553.75
01/06/2019,Hubbell Lighting,Security Lighting,85927.96
01/06/2019,Hubbell Lighting,Thomas,92339.58
01/06/2019,Integrated Solutions,iDevices,0
01/06/2019,Power Systems,Above Ground,155486.73
01/06/2019,Power Systems,Blocks,0
01/06/2019,Power Systems,Civil,396525.31
01/06/2019,Power Systems,Cutouts  Polymer,1082810.66
01/06/2019,Power Systems,Cutouts  Porcelain,566238.17
01/06/2019,Power Systems,Dist Automation,314184.03
01/06/2019,Power Systems,Distribution Arresters,546217.73
01/06/2019,Power Systems,Distribution Connectors,1171061.9
01/06/2019,Power Systems,Distribution Insulators,258349.07
01/06/2019,Power Systems,Drain,20376.55
01/06/2019,Power Systems,Electro Composites,51452.69
01/06/2019,Power Systems,Fiber & Cable Accessories,53460.66
01/06/2019,Power Systems,Fiber Splice Products,16217.81
01/06/2019,Power Systems,Fiberglass Construction,175233.25
01/06/2019,Power Systems,Fuse Links,50677.63
01/06/2019,Power Systems,Gloves,35123.5
01/06/2019,Power Systems,HotBox,50863.13
01/06/2019,Power Systems,HPS Shanghai,29218.76
01/06/2019,Power Systems,Longbow,3249.99
01/06/2019,Power Systems,OVHD Switches,447100.88
01/06/2019,Power Systems,PCORE,425694
01/06/2019,Power Systems,PenCell,264481.07
01/06/2019,Power Systems,Pole Line Hardware,1763481.01
01/06/2019,Power Systems,Power Load,55023.56
01/06/2019,Power Systems,Resale,100869.02
01/06/2019,Power Systems,Reuel,198962.24
01/06/2019,Power Systems,Sub Automation,453472.92
01/06/2019,Power Systems,Substation Connectors,146633.15
01/06/2019,Power Systems,Substation HC Arresters,757227.85
01/06/2019,Power Systems,Substation SC Arresters,148105.49
01/06/2019,Power Systems,Substation Switches,554845.11
01/06/2019,Power Systems,Traditional Tools,165413.72
01/06/2019,Power Systems,Transmission Arresters,11525.07
01/06/2019,Power Systems,Transmission Connectors,1257883.58
01/06/2019,Power Systems,Transmission Insulators,513166
01/06/2019,Power Systems,Turner Electric,-13163.84
01/06/2019,Power Systems,Under Ground,1515471.41
01/06/2019,Power Systems,URD Accessories,96140.85
01/06/2019,Power Systems,URD Arresters,92224.72
01/06/2019,Power Systems,Utility Anchors,789960.72
01/13/2019,Commercial & Industrial,ACME,1449230.96
01/13/2019,Commercial & Industrial,Bryant Electric,382474.9
01/13/2019,Commercial & Industrial,Gleason Reel,880035.04
01/13/2019,Commercial & Industrial,Hipotronics,285959.38
01/13/2019,Commercial & Industrial,ICD,1428735.34
01/13/2019,Commercial & Industrial,Premise Wiring,883781.27
01/13/2019,Commercial & Industrial,RACO,3905628.36
01/13/2019,Commercial & Industrial,WDK,8079842.44
01/13/2019,Commercial & Industrial,Wiegmann,867084.75
01/13/2019,Construction & Energy,Burndy - MX,370900.44
01/13/2019,Construction & Energy,Burndy - US,5210079.51
01/13/2019,Construction & Energy,CMC,1756802.23
01/13/2019,Construction & Energy,Continental Industries,1799432.8
01/13/2019,Construction & Energy,GAI-Tronics - US,719470.18
01/13/2019,Construction & Energy,Gai-Tronics Italy,0
01/13/2019,Construction & Energy,GAI-Tronics UK,215945.13
01/13/2019,Construction & Energy,Hawke - UK,566895.83
01/13/2019,Construction & Energy,Hawke - US,107260.92
01/13/2019,Construction & Energy,Hubbell Canada,2422595.8
01/13/2019,Construction & Energy,Hubbell Scotland,459895.83
01/13/2019,Construction & Energy,Killark,1431628.57
01/13/2019,Construction & Energy,RigPower Connectors,4642.17
01/13/2019,Hubbell Lighting,AAL,585566.13
01/13/2019,Hubbell Lighting,Alera,75067.92
01/13/2019,Hubbell Lighting,Beacon,711388.23
01/13/2019,Hubbell Lighting,Columbia,3849865.29
01/13/2019,Hubbell Lighting,Dual-Lite,1494502.2
01/13/2019,Hubbell Lighting,Hubbell Control Solutions,631041.64
01/13/2019,Hubbell Lighting,Industrial Lighting,515946.68
01/13/2019,Hubbell Lighting,Kim,651718.47
01/13/2019,Hubbell Lighting,Kurt Versen,27360.38
01/13/2019,Hubbell Lighting,Litecontrol,1981888.56
01/13/2019,Hubbell Lighting,Norlux,764195.55
01/13/2019,Hubbell Lighting,Outdoor,1379508.74
01/13/2019,Hubbell Lighting,Prescolite,1185249.98
01/13/2019,Hubbell Lighting,Progress Lighting,5936753.7
01/13/2019,Hubbell Lighting,Security Lighting,167359.92
01/13/2019,Hubbell Lighting,Thomas,186237.52
01/13/2019,Integrated Solutions,iDevices,12410.58
01/13/2019,Power Systems,Above Ground,305670.24
01/13/2019,Power Systems,Blocks,0
01/13/2019,Power Systems,Civil,1032550.12
01/13/2019,Power Systems,Cutouts  Polymer,783146.63
