Calendar Day,Group,Company Code,Gross Order $
02/25/2018,Commercial & Industrial,C715,217904.93
02/25/2018,Construction & Energy,C360,4621987.11
02/25/2018,Power Systems,C640,3536977.82
02/25/2018,Power Systems,C660,109390.19
02/25/2018,Construction & Energy,C450,1051405.34
02/25/2018,Power Systems,C650,666601.84
02/25/2018,Construction & Energy,C366,1856340.43
02/25/2018,Construction & Energy,C351,1987519.02
02/25/2018,Commercial & Industrial,C750,606413.07
02/25/2018,Power Systems,C625,4440.51
02/25/2018,Commercial & Industrial,C740,1519766.85
02/25/2018,Commercial & Industrial,C710,418059.70
02/25/2018,Hubbell Lighting,C550,1040993.47
02/25/2018,Construction & Energy,C792,0.00
02/25/2018,Hubbell Lighting,C520,5600214.88
02/25/2018,Construction & Energy,C720,824013.67
02/25/2018,Power Systems,C615,0.00
02/25/2018,Hubbell Lighting,C510,11699954.93
02/25/2018,Commercial & Industrial,C400,5904296.87
02/25/2018,Construction & Energy,C460,375389.60
02/25/2018,Construction & Energy,C794,421978.47
02/25/2018,Power Systems,C610,14994583.65
02/25/2018,Commercial & Industrial,C300,9350226.74
03/04/2018,Construction & Energy,C460,917026.67
03/04/2018,Construction & Energy,C366,1511290.91
03/04/2018,Construction & Energy,C792,0.00
03/04/2018,Commercial & Industrial,C300,10628578.47
03/04/2018,Commercial & Industrial,C710,596240.58
03/04/2018,Construction & Energy,C794,290058.01
03/04/2018,Power Systems,C610,17574584.14
03/04/2018,Construction & Energy,C720,730797.06
03/04/2018,Power Systems,C640,2828659.07
03/04/2018,Construction & Energy,C351,2889044.86
03/04/2018,Commercial & Industrial,C400,6518896.63
03/04/2018,Commercial & Industrial,C750,530921.99
03/04/2018,Hubbell Lighting,C510,15000928.18
03/04/2018,Power Systems,C650,1473004.21
03/04/2018,Commercial & Industrial,C740,1639534.45
03/04/2018,Hubbell Lighting,C520,5066401.85
03/04/2018,Commercial & Industrial,C715,409537.25
03/04/2018,Construction & Energy,C360,6105866.50
03/04/2018,Construction & Energy,C400,1778559.63
03/04/2018,Construction & Energy,C362,1147658.21
03/04/2018,Construction & Energy,C450,521898.02
03/04/2018,Hubbell Lighting,C550,800965.25
03/04/2018,Power Systems,C625,9191.45
03/04/2018,Power Systems,C660,41061.90
03/04/2018,Power Systems,C615,0.00
03/11/2018,Commercial & Industrial,C740,878246.86
03/11/2018,Commercial & Industrial,C710,229837.14
03/11/2018,Construction & Energy,C362,468946.71
03/11/2018,Hubbell Lighting,C550,687636.15
03/11/2018,Construction & Energy,C450,771498.11
03/11/2018,Construction & Energy,C794,268852.52
03/11/2018,Construction & Energy,C460,164267.24
03/11/2018,Construction & Energy,C360,5926632.64
03/11/2018,Hubbell Lighting,C520,5272544.33
03/11/2018,Commercial & Industrial,C300,10166611.29
03/11/2018,Construction & Energy,C351,2625228.29
03/11/2018,Power Systems,C615,0.00
03/11/2018,Power Systems,C660,282246.65
03/11/2018,Commercial & Industrial,C750,739498.20
03/11/2018,Commercial & Industrial,C715,40430.61
03/11/2018,Hubbell Lighting,C510,15676659.57
03/11/2018,Power Systems,C650,915482.33
03/11/2018,Power Systems,C640,2992708.37
03/11/2018,Commercial & Industrial,C400,6543983.79
03/11/2018,Construction & Energy,C400,2104671.05
03/11/2018,Power Systems,C610,18166705.03
03/11/2018,Power Systems,C625,40038.81
03/11/2018,Construction & Energy,C720,571772.67
03/11/2018,Construction & Energy,C366,1567556.81
03/11/2018,Construction & Energy,C792,5652.30
03/18/2018,Commercial & Industrial,C740,1436370.24
03/18/2018,Construction & Energy,C400,1631121.86
03/18/2018,Construction & Energy,C351,2445782.62
03/18/2018,Power Systems,C610,16763303.12
03/18/2018,Construction & Energy,C450,349978.01
03/18/2018,Construction & Energy,C360,6649289.27
03/18/2018,Power Systems,C640,3752699.38
03/18/2018,Power Systems,C660,112398.10
03/18/2018,Construction & Energy,C460,509357.14
03/18/2018,Construction & Energy,C720,904303.59
03/18/2018,Construction & Energy,C794,297067.82
03/18/2018,Hubbell Lighting,C520,6336011.10
03/18/2018,Commercial & Industrial,C300,10252464.53
03/18/2018,Power Systems,C615,126003.44
03/18/2018,Commercial & Industrial,C715,229054.14
03/18/2018,Construction & Energy,C362,491682.44
03/18/2018,Commercial & Industrial,C400,7433696.12
03/18/2018,Construction & Energy,C366,1118599.69
03/18/2018,Commercial & Industrial,C710,104131.60
03/18/2018,Hubbell Lighting,C550,469781.85
03/18/2018,Power Systems,C650,621770.11
03/18/2018,Commercial & Industrial,C750,735133.49
03/18/2018,Construction & Energy,C792,0.00
03/18/2018,Hubbell Lighting,C510,16958404.82
03/18/2018,Power Systems,C625,70958.28
03/25/2018,Power Systems,C615,2826.83
03/25/2018,Commercial & Industrial,C300,9528803.41
03/25/2018,Commercial & Industrial,C740,1271022.59
03/25/2018,Construction & Energy,C720,1368898.16
03/25/2018,Hubbell Lighting,C510,14324918.55
03/25/2018,Construction & Energy,C460,286793.51
